block,book,sample,selection,family,forecast,theta,rule,n_days,n_traded,n_satout,frac_satout,mean_traded,mean_calendar,sd,Sharpe_ann,t,MaxDD,worst_day,worst_date,mean_satout,mean_weight,mean_weight_traded,Sharpe_always_sell,delta_Sharpe,mean_always_sell,beats_always_sell,modal_pick,modal_pick_share,frac_null_chosen
fixed_cell_oos,hold_settle,whole,,margin,lgbm,0.2,"sell only when v >= 0.20, LightGBM",797,126,671,0.8419071518193224,0.1036918304785622,0.016392936813423888,0.1670603793045634,1.5576991114300855,2.7702085316575538,-2.4633439214912674,-1.5903495409908224,2023-07-27,0.09812568851630081,0.15809284818067754,1.0,3.9717911256867424,-2.414092014256657,0.09900565575249269,False,"sell only when v >= 0.20, LightGBM",1.0,
fixed_cell_oos,hold_settle,whole,,margin,lgbm,0.3,"sell only when v >= 0.30, LightGBM",797,53,744,0.9335006273525721,0.11693999949624849,0.0077764366038910555,0.10304597550503364,1.1979808375427763,2.130486377357231,-2.475543867168855,-1.1533720428549503,2022-03-25,0.0977280748137574,0.06649937264742785,1.0,3.9717911256867424,-2.773810288143966,0.09900565575249269,False,"sell only when v >= 0.30, LightGBM",1.0,
fixed_cell_oos,hold_settle,whole,,margin,xgb,0.0,"sell only when v >= 0.00, XGBoost",797,452,345,0.4328732747804266,0.11957382652090187,0.06781351265677246,0.28995316665113213,3.7126897165863477,6.602638887584925,-3.6283545165502105,-2.086057830199802,2024-04-04,0.07205837115156241,0.5671267252195734,1.0,3.9717911256867424,-0.2591014091003947,0.09900565575249269,False,"sell only when v >= 0.00, XGBoost",1.0,
fixed_cell_oos,hold_settle,whole,,margin,xgb,0.05,"sell only when v >= 0.05, XGBoost",797,361,436,0.5470514429109159,0.12078818557210146,0.054710834368291876,0.2699566545093647,3.2172111931619276,5.721481016484078,-3.1577246790123965,-2.086057830199802,2024-04-04,0.08097012074130287,0.45294855708908405,1.0,3.9717911256867424,-0.7545799325248148,0.09900565575249269,False,"sell only when v >= 0.05, XGBoost",1.0,
fixed_cell_oos,hold_settle,whole,,margin,xgb,0.1,"sell only when v >= 0.10, XGBoost",797,259,538,0.6750313676286073,0.11423386382269071,0.037122422496959705,0.23316573828854548,2.5273875667705625,4.494700259439215,-2.9522695811242485,-1.5903495409908224,2023-07-27,0.09167460391200705,0.32496863237139273,1.0,3.9717911256867424,-1.4444035589161799,0.09900565575249269,False,"sell only when v >= 0.10, XGBoost",1.0,
fixed_cell_oos,hold_settle,whole,,margin,xgb,0.15,"sell only when v >= 0.15, XGBoost",797,185,612,0.767879548306148,0.11751260154046426,0.027277078149292207,0.20514172999398256,2.110785512366053,3.7538161201667006,-2.886757108009405,-1.5903495409908224,2023-07-27,0.09341123586560587,0.23212045169385195,1.0,3.9717911256867424,-1.8610056133206894,0.09900565575249269,False,"sell only when v >= 0.15, XGBoost",1.0,
fixed_cell_oos,hold_settle,whole,,margin,xgb,0.2,"sell only when v >= 0.20, XGBoost",797,126,671,0.8419071518193224,0.11248709851221893,0.017783405787377145,0.16667493140853062,1.6937329007860127,3.0121307110452835,-2.384161058897293,-1.5903495409908224,2023-07-27,0.09647411806586752,0.15809284818067754,1.0,3.9717911256867424,-2.2780582249007297,0.09900565575249269,False,"sell only when v >= 0.20, XGBoost",1.0,
fixed_cell_oos,hold_settle,whole,,margin,xgb,0.3,"sell only when v >= 0.30, XGBoost",797,51,746,0.9360100376411543,0.0924073147551893,0.005913140592866568,0.0981012040864678,0.9568506088241188,1.7016609309437032,-1.9534479334092953,-1.1533720428549503,2022-03-25,0.09945674876973462,0.06398996235884567,1.0,3.9717911256867424,-3.0149405168626235,0.09900565575249269,False,"sell only when v >= 0.30, XGBoost",1.0,
fixed_cell_oos,hold_settle,whole,,margin,lasso_t,0.0,"sell only when v >= 0.00, lasso (causally tuned)",797,444,353,0.44291091593475534,0.12176122492799067,0.06783184926979657,0.2945348675195262,3.6559244543555227,6.501687675261744,-3.4688808877758603,-2.086057830199802,2024-04-04,0.07038392001900516,0.5570890840652447,1.0,3.9717911256867424,-0.3158666713312197,0.09900565575249269,False,"sell only when v >= 0.00, lasso (causally tuned)",1.0,
fixed_cell_oos,hold_settle,whole,,margin,lasso_t,0.05,"sell only when v >= 0.05, lasso (causally tuned)",797,355,442,0.5545796737766625,0.11497422828255602,0.051211858268892574,0.26634832252267926,3.0522551793906505,5.428123619446157,-3.2618953311666132,-2.086057830199802,2024-04-04,0.08618021853943279,0.4454203262233375,1.0,3.9717911256867424,-0.9195359462960919,0.09900565575249269,False,"sell only when v >= 0.05, lasso (causally tuned)",1.0,
