split,n,feature,plain,target,corr_std_weight,lo_w,hi_w,corr_contribution,lo_c,hi_c
month_end,52,adj_fomc_until_inv_ma_25,"1 / days to next FOMC, mean of last 25 bars",buy_decision,-0.11054323780639763,-0.38973781332005053,0.21962670380059135,0.1792483325132936,-0.15015232986787486,0.5084509927815534
month_end,52,adj_fomc_until_inv_ma_125,"1 / days to next FOMC, mean of last 125 bars",pnl_mid,-0.12862069835068207,-0.3526061139592278,0.13652083197951237,-0.09734776995480056,-0.33977638628710777,0.08185891325275363
month_end,52,adj_fomc_until_inv_ma_125,"1 / days to next FOMC, mean of last 125 bars",pnl_crossed,-0.1234016575375789,-0.34662938060110293,0.14231467560956776,-0.09764225522251553,-0.3404147663904146,0.08133132114592284
month_end,52,adj_fomc_until_inv_ma_125,"1 / days to next FOMC, mean of last 125 bars",buy_decision,-0.07940349659179811,-0.35899327889407023,0.190997989661018,0.03640233790422338,-0.36617240285043234,0.42355815157343024
month_end,52,adj_fomc_until_inv_ma_625,"1 / days to next FOMC, mean of last 625 bars",pnl_mid,0.12784174215536281,-0.07936987844679227,0.320608215865873,0.09466612160450577,-0.08623838509268204,0.29491839611638293
month_end,52,adj_fomc_until_inv_ma_625,"1 / days to next FOMC, mean of last 625 bars",pnl_crossed,0.11989622468369522,-0.0785348891176352,0.30743045766822413,0.09554769568718915,-0.07778690699166001,0.2878626830906918
month_end,52,adj_fomc_until_inv_ma_625,"1 / days to next FOMC, mean of last 625 bars",buy_decision,0.07047214038006348,-0.17402565304781997,0.32034861227320266,0.0347816490177237,-0.3091408074423956,0.34388491080019257
month_end,52,adj_fomc_until_inv_ma_3125,"1 / days to next FOMC, mean of last 3125 bars",pnl_mid,0.0373428871268597,-0.14511050311152351,0.2302318089373651,0.0570204829473213,-0.07536811240308747,0.2505726841937822
month_end,52,adj_fomc_until_inv_ma_3125,"1 / days to next FOMC, mean of last 3125 bars",pnl_crossed,0.031519981350976486,-0.14791815264294572,0.221464368893103,0.05933247023026076,-0.08060791774138401,0.24773796717296034
month_end,52,adj_fomc_until_inv_ma_3125,"1 / days to next FOMC, mean of last 3125 bars",buy_decision,0.09792872038230181,-0.121118797297367,0.27815578340170527,-0.06096720990021726,-0.2889907776379445,0.12433203959789424
month_end,52,adj_fomc_since_inv_ma_1,"1 / days since last FOMC, last bar",pnl_mid,-0.13795563145975734,-0.333361961418759,0.06920075540524956,-0.06174951554261287,-0.2988782142806356,0.16654999523154992
month_end,52,adj_fomc_since_inv_ma_1,"1 / days since last FOMC, last bar",pnl_crossed,-0.13139468432145532,-0.3227879391840589,0.07261061580601798,-0.06064481929077187,-0.28674318297775825,0.16020728480365765
month_end,52,adj_fomc_since_inv_ma_1,"1 / days since last FOMC, last bar",buy_decision,-0.04776978625223081,-0.31175519765674586,0.19806112388827712,-0.006575439850141058,-0.4214037603704747,0.2382679048607203
month_end,52,adj_fomc_since_inv_ma_5,"1 / days since last FOMC, mean of last 5 bars",pnl_mid,-0.13391333033907032,-0.3239476399543341,0.06735727361731071,-0.04976585396487986,-0.2786227624972912,0.15804709127393526
month_end,52,adj_fomc_since_inv_ma_5,"1 / days since last FOMC, mean of last 5 bars",pnl_crossed,-0.12764164153373134,-0.31431570135399733,0.07342810578271894,-0.04945308888435293,-0.26275621113500364,0.15509994682031675
month_end,52,adj_fomc_since_inv_ma_5,"1 / days since last FOMC, mean of last 5 bars",buy_decision,-0.04333059453197853,-0.31153201959234544,0.1990239698903714,0.012515388167927619,-0.4116941059293276,0.23871215523241437
month_end,52,adj_fomc_since_inv_ma_25,"1 / days since last FOMC, mean of last 25 bars",pnl_mid,-0.11596940296033356,-0.3303735361800555,0.12073486155138836,0.16851699977289433,-0.0003008334120431656,0.40131823832371066
month_end,52,adj_fomc_since_inv_ma_25,"1 / days since last FOMC, mean of last 25 bars",pnl_crossed,-0.11275934315484154,-0.32435531723091815,0.12318768796286507,0.16556075411620103,-0.0021960920277910266,0.39596171415155473
month_end,52,adj_fomc_since_inv_ma_25,"1 / days since last FOMC, mean of last 25 bars",buy_decision,0.005112138016537022,-0.28205011683776504,0.21689512634022978,0.16687938674518027,-0.092112885779799,0.38471956457947953
month_end,52,adj_fomc_since_inv_ma_125,"1 / days since last FOMC, mean of last 125 bars",pnl_mid,-0.04004182168017456,-0.36084603311539937,0.22067771011070417,0.016074713552788108,-0.16141942225296058,0.16032954714799316
month_end,52,adj_fomc_since_inv_ma_125,"1 / days since last FOMC, mean of last 125 bars",pnl_crossed,-0.03698557787535735,-0.35049049125998105,0.2145768593085463,0.023741484571773688,-0.1523871559604211,0.16163041009772755
month_end,52,adj_fomc_since_inv_ma_125,"1 / days since last FOMC, mean of last 125 bars",buy_decision,-0.0866003720385945,-0.3176019685226655,0.17250894906745837,-0.25235147963936433,-0.39477008599726543,-0.09814341744950479
