block,metric,sample,n,mean,median,sum_prem,n_bars,share_of_bars,share,convexity_mean,convexity_sum,hedge_mean,hedge_sum,theta_mean,bar_pnl_mean,mean_abs_bar_ret,tercile_lo,tercile_hi,worst,Sharpe_ann,mean_convexity,mean_theta,p05,p25,p75,p90,p95,share_above_one,share_at_zero
A3_shape,"mid book, 3_trend",whole,289.0,0.011279401370186933,,,,,,,,,,,,,,,-2.041976485629983,0.5253724511744439,-0.32670946358701963,0.4136801434828167,,,,,,,
A3_shape,"mid book, 1_whipsaw",daily_era,156.0,0.15904871370297435,,,,,,,,,,,,,,,-1.2900535219497629,8.026812078360704,-0.4613040767732714,0.6923246149373801,,,,,,,
A3_shape,"mid book, 2_mixed",daily_era,164.0,0.1035380268569772,,,,,,,,,,,,,,,-0.9940306346122385,5.919873757964576,-0.4046373740221768,0.5579877862933881,,,,,,,
A3_shape,"mid book, 3_trend",daily_era,169.0,-0.013160367570841833,,,,,,,,,,,,,,,-2.041976485629983,-0.5635732268122375,-0.3522220009293758,0.3889667524962998,,,,,,,
A4_vol_ratio,s(15:30 quoted) / s(11:00) sqrt(0.5/5),whole,865.0,1.416794808285773,1.3824332579586165,,,,,,,,,,,,,,,,,,0.0,1.1554240326377034,1.660103119089068,2.135090500405089,2.557451034693711,0.8635838150289017,0.09132947976878612
A4_vega,"mean vega term, top 10% of the ratio",whole,87.0,-0.03750401511831962,2.5595678662792998,,,,,,,,,,,,,,,,,,,,,,,,
A4_vega,"mean vega term, all days",whole,865.0,-0.05170015830990052,1.3824332579586165,,,,,,,,,,,,,,,,,,,,,,,,
A4_vega,"crossed book, vega share of losing-day losses",whole,316.0,-0.04496766737164552,,,,,0.16374444590337275,,,,,,,,,,,,,,,,,,,,
A4_vega,"mid book, vega share of losing-day losses",whole,266.0,-0.04458152074766445,,,,,0.16174098135760467,,,,,,,,,,,,,,,,,,,,
A4_vol_ratio,s(15:30 quoted) / s(11:00) sqrt(0.5/5),daily_era,489.0,1.3376793004057788,1.2558761756016201,,,,,,,,,,,,,,,,,,0.0,1.0551573686690678,1.5735323699187802,2.117317157728807,2.649273673520032,0.8241308793456033,0.10020449897750511
A4_vega,"mean vega term, top 10% of the ratio",daily_era,49.0,-0.028354550131406756,2.6521970291499812,,,,,,,,,,,,,,,,,,,,,,,,
A4_vega,"mean vega term, all days",daily_era,489.0,-0.030553040810000327,1.2558761756016201,,,,,,,,,,,,,,,,,,,,,,,,
A4_vega,"crossed book, vega share of losing-day losses",daily_era,177.0,-0.0300766964310502,,,,,0.1101450022695629,,,,,,,,,,,,,,,,,,,,
A4_vega,"mid book, vega share of losing-day losses",daily_era,155.0,-0.03042331595086561,,,,,0.1097473363696869,,,,,,,,,,,,,,,,,,,,
