,mean-s then sign,majority vote,EW unit-median q,trail-Sharpe um q,trail-IR um q,blk2 0.5 AS + 0.5 UM,blk2 EW 3 rules,blk2 unit-median (bench),blk2 long-short,always short,spectral PC1 sign,spectral PC1 unit-median,PCR k=1 sign,PCR k=2 sign
2022-09-02,0.931163699127907,0.931163699127907,2.126205319797802,1.9555378067909404,1.9389427886629969,1.862327398255814,1.5519394985465116,2.793491097383721,0.931163699127907,0.931163699127907,0.931163699127907,0.8773068169429656,0.931163699127907,0.931163699127907
2022-09-06,0.8225432718041976,0.8225432718041976,2.34751909433791,2.2816709248968583,2.27534026444632,1.6450865436083952,1.3709054530069962,2.467629815412593,0.8225432718041976,0.8225432718041976,0.8225432718041976,1.0408048136016839,0.8225432718041976,0.8225432718041976
2022-09-07,0.3250154321128048,0.3250154321128048,0.9039245725331239,0.8742132875793857,0.8707860212807947,0.6500308642256096,0.5416923868546747,0.9750462963384144,0.3250154321128048,0.3250154321128048,0.3250154321128048,0.38278450122607355,0.3250154321128048,0.3250154321128048
2022-09-08,-0.4062807432517943,-0.4062807432517943,-0.6568104769892212,-0.6167563514441613,-0.610482883408342,-0.6732057965614717,-0.5842307787915791,-0.9401308498711493,-0.4062807432517943,-0.4062807432517943,-0.4062807432517943,-0.2893228838649238,-0.4062807432517943,-0.4062807432517943
2022-09-09,0.5907143319986452,0.5907143319986452,1.4067146513716393,1.3529545258588092,1.3475782569168369,1.051392766433927,0.897833288288833,1.512071200869209,0.5907143319986452,0.5907143319986452,0.5907143319986452,0.5774542488910922,0.5907143319986452,0.5907143319986452
2022-09-12,0.20438878118563242,0.20438878118563242,0.4423143655765687,0.45146129835640375,0.45150946005777026,0.34195691075970513,0.2961008675683475,0.4795250403337778,0.20438878118563242,0.20438878118563242,0.20438878118563242,0.1843270088747046,0.20438878118563242,0.20438878118563242
2022-09-13,0.3293523991209397,0.3293523991209397,0.9880571973628192,0.9880571973628192,0.9880571973628193,0.6587047982418794,0.5489206652015662,0.9880571973628192,0.3293523991209397,0.3293523991209397,0.3293523991209397,0.6231104233322977,0.3293523991209397,0.3293523991209397
2022-09-14,-0.9635523495460643,-0.9635523495460643,-1.810739976764537,-1.9385775491021755,-1.9526998000353717,-1.3336568930378012,-1.2102887118738888,-1.7037614365295382,-0.9635523495460643,-0.9635523495460643,-0.9635523495460643,-0.7541113525002725,-0.9635523495460643,-0.9635523495460643
2022-09-15,0.4502079815111032,0.4502079815111032,0.8886412687694061,0.9142598667582988,0.9154396187514443,0.7135773642822665,0.6257875700252121,0.9769467470534298,0.4502079815111032,0.4502079815111032,0.4502079815111032,0.3780804737769411,0.4502079815111032,0.4502079815111032
2022-09-16,0.3517449122404429,0.3517449122404429,1.0552347367213288,1.0552347367213288,1.0552347367213288,0.7034898244808858,0.5862415204007382,1.0552347367213288,0.3517449122404429,0.3517449122404429,0.3517449122404429,0.8740790097809634,0.3517449122404429,0.3517449122404429
2022-09-19,-1.0,-1.0,-0.4093971019188392,-0.4140943385414092,-0.4266184221674575,0.5135962088790582,0.6757308059193722,0.02719241775811638,1.0,1.0,1.0,0.06741354236220297,1.0,1.0
2022-09-20,1.0,1.0,3.0,3.0,3.0,2.0,1.6666666666666667,3.0,1.0,1.0,1.0,1.5099685395400002,1.0,1.0
2022-09-21,-0.846546864081638,-0.846546864081638,-2.539640592244914,-2.5396405922449143,-2.539640592244914,-1.693093728163276,-1.4109114401360634,-2.539640592244914,-0.846546864081638,-0.846546864081638,-0.846546864081638,-2.539640592244914,-0.846546864081638,0.846546864081638
2022-09-22,-0.5187508331345447,-0.5187508331345447,-1.3898474238249061,-1.442028348549647,-1.4478102636548773,-1.0375016662690895,-0.864584721890908,-1.5562524994036342,-0.5187508331345447,-0.5187508331345447,-0.5187508331345447,-0.5796193699713011,-0.5187508331345447,-0.5187508331345447
2022-09-23,0.12384231986149363,0.12384231986149363,0.3715269595844809,0.3715269595844809,0.3715269595844809,0.24768463972298727,0.20640386643582273,0.3715269595844809,0.12384231986149363,0.12384231986149363,0.12384231986149363,0.3715269595844809,0.12384231986149363,0.12384231986149363
2022-09-26,0.24258852735607506,0.24258852735607506,0.5073091064772,0.5078683378248134,0.5060981199873197,0.46031602001413424,0.3877401891281145,0.6780435126721934,0.24258852735607506,0.24258852735607506,0.24258852735607506,0.20653672581460644,0.24258852735607506,0.24258852735607506
2022-09-27,0.8091634114583334,0.8091634114583334,1.367937335742854,1.5489272859563086,1.5741563638359026,1.1341820131050941,1.0258424792228407,1.459200614751855,0.8091634114583334,0.8091634114583334,0.8091634114583334,0.5577379313087227,0.8091634114583334,0.8091634114583334
2022-09-28,0.8956564176737001,-0.8956564176737001,0.1947895150711724,0.6346794581226517,0.7070063882916862,0.1660030538859881,-0.18788343663390797,-0.5636503099017238,-0.8956564176737001,0.8956564176737001,0.8956564176737001,0.212061915176631,0.8956564176737001,0.8956564176737001
2022-09-29,0.1755928456403003,0.1755928456403003,0.5267785369209009,0.5267785369209009,0.526778536920901,0.3511856912806006,0.29265474273383385,0.5267785369209009,0.1755928456403003,0.1755928456403003,0.1755928456403003,0.32187392608014853,0.1755928456403003,0.1755928456403003
2022-09-30,-0.38916717221370045,-0.38916717221370045,-1.1675015166411014,-1.1675015166411016,-1.1675015166411016,-0.7783343444274009,-0.6486119536895008,-1.1675015166411014,-0.38916717221370045,-0.38916717221370045,-0.38916717221370045,-1.1675015166411014,-0.38916717221370045,-0.38916717221370045
