,pc1_share
2021-07-26,0.9256160222272763
2021-07-28,0.9256171915802437
2021-07-30,0.9256170704302717
2021-08-02,0.9256196926525582
2021-08-04,0.9256200625387705
2021-08-06,0.9256203816212352
2021-08-09,0.925621852278956
2021-08-11,0.9256226218562982
2021-08-13,0.9256233681859287
2021-08-16,0.9256239957270552
2021-08-18,0.9256248896850598
2021-08-20,0.9256259885879228
2021-08-23,0.9256269460832459
2021-08-25,0.9256275471294307
2021-08-27,0.9256280046491877
2021-08-30,0.9256284460871108
2021-08-31,0.9256290510426735
2021-09-01,0.9256295929276237
2021-09-03,0.9256294782551512
2021-09-07,0.9256301134722542
2021-09-08,0.9256305474684974
2021-09-10,0.9256308942204035
2021-09-13,0.9256320930297351
2021-09-15,0.925631343939549
2021-09-17,0.9256314736571492
2021-09-20,0.925633973534881
2021-09-22,0.9256329424437426
2021-09-24,0.925633980879739
2021-09-27,0.9256347375777023
2021-09-29,0.9256349031973318
2021-09-30,0.9256342104906333
2021-10-01,0.9256442344063534
2021-10-04,0.9256488325363998
2021-10-06,0.9256513674717325
2021-10-08,0.925652444542805
2021-10-11,0.9256539456132457
2021-10-13,0.9256538527656178
2021-10-15,0.9256546067698639
2021-10-18,0.9256544730024696
2021-10-20,0.9256544276950935
2021-10-22,0.9256549607628886
2021-10-25,0.9256560927238707
2021-10-27,0.925656567572354
2021-10-29,0.9256558992007791
2021-11-01,0.9256564630900012
2021-11-03,0.9256563435791958
2021-11-05,0.9256577019242455
2021-11-08,0.9256589545990409
2021-11-10,0.9256591895170716
2021-11-12,0.9256601469375615
2021-11-15,0.9256615564508726
2021-11-17,0.9256619231539791
2021-11-19,0.9256620876855509
2021-11-22,0.9256629286826592
2021-11-24,0.9256627656845062
2021-11-29,0.9256623933381662
2021-11-30,0.9256626323619274
2021-12-01,0.9256660784449711
2021-12-03,0.925590969344335
2021-12-06,0.9255871733371435
2021-12-08,0.9255850259689068
2021-12-10,0.9255841053150842
2021-12-13,0.9255845159304219
2021-12-15,0.9255856592723769
2021-12-17,0.9255833766797653
2021-12-20,0.9255847388897074
2021-12-22,0.9255862823946699
2021-12-23,0.9255856544374219
2021-12-27,0.9255865635073277
2021-12-29,0.9255874883741744
2021-12-31,0.9255886954770116
2022-01-03,0.9255927408790806
2022-01-05,0.9255927436680295
2022-01-07,0.9255894859471375
2022-01-10,0.9255884208101888
2022-01-12,0.9255863723458686
2022-01-14,0.9255850723658378
2022-01-18,0.9255858567136938
2022-01-19,0.9255859847887561
2022-01-21,0.9255843767134732
2022-01-24,0.9255653261534265
2022-01-26,0.9246962314159582
2022-01-28,0.9238580144781252
2022-01-31,0.9238588358082244
2022-02-02,0.9238530888729998
2022-02-04,0.9238505856985602
2022-02-07,0.9238572573046233
2022-02-09,0.9238547489782493
2022-02-11,0.923858657715212
2022-02-14,0.9238121950961067
2022-02-16,0.9238077855975906
2022-02-18,0.9238069378706659
2022-02-22,0.9237862779187849
2022-02-23,0.9237816282985509
2022-02-25,0.9237681044527349
2022-02-28,0.9237687882836337
2022-03-02,0.9237885067221316
2022-03-04,0.9237970028923039
2022-03-07,0.9237946923079179
2022-03-09,0.9237786639487205
2022-03-11,0.9237809043258508
2022-03-14,0.923770056301058
2022-03-16,0.9237607008532297
2022-03-18,0.9236962695226383
2022-03-21,0.9237072351526588
2022-03-23,0.9237087095550132
2022-03-25,0.9237101520266288
2022-03-28,0.9237088200406125
2022-03-30,0.9237095791767469
2022-03-31,0.9237074510762111
2022-04-01,0.9237097673400071
2022-04-04,0.9237079910311194
2022-04-06,0.9237095622965285
2022-04-08,0.9237036914454889
2022-04-11,0.9237055227231156
2022-04-13,0.9237058541731434
2022-04-14,0.923708821393524
2022-04-18,0.9237101322639542
2022-04-20,0.9237130961187383
2022-04-22,0.9237140916236518
2022-04-25,0.9237260519185235
2022-04-26,0.9237240569066695
2022-04-27,0.9237104129325011
2022-04-29,0.923710304353873
2022-05-02,0.9236735212438041
2022-05-03,0.923680190501084
2022-05-04,0.9236918577666481
2022-05-06,0.9236522613996015
2022-05-09,0.9236303724051141
2022-05-10,0.9235874431784047
2022-05-11,0.9235803727565438
2022-05-13,0.92356020295869
2022-05-16,0.9235645109146451
2022-05-17,0.9235555079064833
2022-05-18,0.9235568678101655
2022-05-19,0.923528429771821
2022-05-20,0.9235326052812041
2022-05-23,0.9235196654827337
2022-05-24,0.9235115480159963
2022-05-25,0.9234907463602029
2022-05-26,0.9234886228136167
2022-05-27,0.9234832472766024
2022-05-31,0.9234821785263495
2022-06-01,0.9234762133577402
2022-06-02,0.9234761297590036
2022-06-03,0.9234680438178522
