estimator,bucket,qlike,mse,rmse,mae,hmse,hmae,oos_r2,mz_beta,mz_r2,n,incumbent_qlike,dm,dm_p,dm_mean_diff,dm_better,family,arm_tag,view_window,embedding_dim,neighbor_k,residualizer,masked,omega
spectral-kNN identity W=12 passthrough k=25,market_vw,0.1577321287317309,5.085119670616596e-11,7.131002503587133e-06,1.394760568983817e-06,0.3895729205068464,0.4452444742692272,-0.1727686797394023,0.8713278302247779,0.6563313987829618,218934,0.1341525013374754,37.9265495560488,9.39884625e-315,0.0235796273942554,b,spectral-kNN,best_exog_id,12.0,0.0,25.0,identity,no,1.0
spectral-kNN identity W=12 spectral d=6 k=25,baseline,0.1599251634418195,5.0985083336191516e-11,7.140383976803455e-06,1.4129946887549364e-06,0.3801096465790903,0.4392819775011347,-0.1758564742555695,0.8681195079975824,0.6561138556566992,218934,0.1341525013374754,45.70682144988551,0.0,0.0257726621043441,b,spectral-kNN,fac_W12_d6_k25_id,12.0,6.0,25.0,identity,no,1.0
spectral-kNN identity W=12 spectral d=6 k=100,baseline,0.1621324259972657,4.970634352960802e-11,7.050272585482637e-06,1.4269701405689562e-06,0.3686214136393649,0.4381038477810228,-0.1463652116730449,0.8870206003642302,0.6607384475110506,218934,0.1341525013374754,41.22482133748838,0.0,0.0279799246597902,b,spectral-kNN,fac_W12_d6_k100_id,12.0,6.0,100.0,identity,no,1.0
spectral-kNN identity W=12 passthrough k=25,vol_demand,0.164896350543744,4.4518028866239096e-11,6.672183215877626e-06,1.388059172167472e-06,0.4082105337332116,0.4483792410372214,-0.0267083828870675,0.9419191800696236,0.688791627251472,218934,0.1341525013374754,28.37796112432348,3.783239166254479e-177,0.0307438492062685,b,spectral-kNN,best_exog_id,12.0,0.0,25.0,identity,no,1.0
spectral-kNN identity W=24 spectral d=6 k=25,baseline,0.1687224131208283,5.270488038251624e-11,7.259812696104235e-06,1.4609596599609463e-06,0.4036379984282731,0.4539555735670635,-0.2155197318007629,0.895200399836785,0.6378913306579194,218934,0.1341525013374754,47.08069875566592,0.0,0.0345699117833529,b,spectral-kNN,fac_W24_d6_k25_id,24.0,6.0,25.0,identity,no,1.0
spectral-kNN identity W=24 spectral d=6 k=100,baseline,0.1687420159361628,5.1609445051450304e-11,7.183971398290106e-06,1.4586877112143757e-06,0.3926829821185034,0.4508717990128206,-0.1902559753865838,0.9093882955532064,0.6432455365739453,218934,0.1341525013374754,40.90796171206446,0.0,0.0345895145986874,b,spectral-kNN,fac_W24_d6_k100_id,24.0,6.0,100.0,identity,no,1.0
spectral-kNN identity W=12 passthrough k=25,all_features,0.1740859487613289,5.4209101328641136e-11,7.362683025137042e-06,1.4770256019807636e-06,0.450506958184747,0.4741956265232235,-0.2502112106113012,0.8520479167316906,0.6376857906735047,218934,0.1341525013374754,37.78672693106135,1.87711221582e-312,0.0399334474238534,b,spectral-kNN,best_exog_id,12.0,0.0,25.0,identity,no,1.0
spectral-kNN identity W=960 spectral d=8 k=25,moments,0.2462740765340623,1.3069866816606334e-10,1.1432351821303585e-05,2.0471868875235926e-06,0.6619223209786852,0.5425529200957818,-2.014271333563852,0.531748923038397,0.3649836518485745,218934,0.1341525013374754,51.16133627210564,0.0,0.1121215751965868,b,spectral-kNN,spectral_knn_fixed,960.0,8.0,25.0,identity,no,1.0
spectral-kNN identity W=960 spectral d=8 k=25,market_vw,0.256721793254101,1.9899272578460363e-10,1.410647814958091e-05,2.104619504321128e-06,0.7087908001572654,0.5565629966558034,-3.589320437130654,0.3844600266344855,0.255270341859764,218934,0.1341525013374754,52.05816233044342,0.0,0.1225692919166256,b,spectral-kNN,spectral_knn_fixed,960.0,8.0,25.0,identity,no,1.0
spectral-kNN identity W=960 spectral d=8 k=25,vol_demand,0.2568917454444778,1.1275038470690947e-10,1.0618398405923063e-05,2.071737049650624e-06,0.7073443986265806,0.5536048457049043,-1.6003344734815368,0.5915073507215916,0.398511467184487,218934,0.1341525013374754,50.00845071951195,0.0,0.1227392441070023,b,spectral-kNN,spectral_knn_fixed,960.0,8.0,25.0,identity,no,1.0
spectral-kNN identity W=960 spectral d=8 k=25,market_ew,0.2577580697621237,2.2271865138839132e-10,1.4923761301642137e-05,2.149494465092439e-06,0.7036474219913905,0.5565827140675412,-4.1365056411825,0.3501000924225379,0.2320536261534791,218934,0.1341525013374754,52.37560935648022,0.0,0.1236055684246482,b,spectral-kNN,spectral_knn_fixed,960.0,8.0,25.0,identity,no,1.0
spectral-kNN identity W=960 spectral d=8 k=25,implied_vol,0.2590612682322417,1.226999797101931e-10,1.107700228898564e-05,2.0872633690813896e-06,0.749999952996959,0.556655851435743,-1.8297995431703828,0.5560058544646072,0.3839978540011506,218934,0.1341525013374754,45.99427863231582,0.0,0.1249087668947662,b,spectral-kNN,spectral_knn_fixed,960.0,8.0,25.0,identity,no,1.0
spectral-kNN identity W=960 spectral d=8 k=25,baseline,0.25911197749138,1.1048110018661739e-10,1.0510999009923718e-05,2.048158161556735e-06,0.7237052295296801,0.5585139325600064,-1.547998521071306,0.6013737449634493,0.3999577547740486,218934,0.1341525013374755,50.78524504394749,0.0,0.1249594761539045,b,spectral-kNN,spectral_knn_fixed,960.0,8.0,25.0,identity,no,1.0
spectral-kNN identity W=960 spectral d=8 k=25,sentiment,0.2592508424366141,9.900496402470451e-11,9.950123819566494e-06,2.033439483227169e-06,0.7119743254979096,0.5581717056041698,-1.2833272069843495,0.6494339647122747,0.4288594197621668,218934,0.1341525013374754,51.44387331167572,0.0,0.1250983410991386,b,spectral-kNN,spectral_knn_fixed,960.0,8.0,25.0,identity,no,1.0
spectral-kNN identity W=960 spectral d=8 k=25,liquidity,0.2607157780604617,1.0370983306122712e-10,1.0183802485379768e-05,2.044524368351953e-06,0.7851482524943345,0.5638720246067742,-1.3918344478304423,0.6344050614485764,0.4074160338316599,218934,0.1341525013374754,50.74313076232688,0.0,0.1265632767229864,b,spectral-kNN,spectral_knn_fixed,960.0,8.0,25.0,identity,no,1.0
spectral-kNN identity W=960 spectral d=8 k=25,all_features,0.2635315339483596,1.2537925350714832e-10,1.1197287774597397e-05,2.0892395912658053e-06,0.8650318233165655,0.5669050976196048,-1.8915909777294029,0.547846510563485,0.3746298031249123,218934,0.1341525013374754,43.34572333621166,0.0,0.1293790326108841,b,spectral-kNN,spectral_knn_fixed,960.0,8.0,25.0,identity,no,1.0
ols_har b2 cap240,baseline,0.1333299808628544,4.303199830725215e-11,6.559877918624108e-06,1.27369899604732e-06,0.3150184603955249,0.3983883981573543,0.0075635754856102,0.9398894056213838,0.6995414703173318,218934,0.1341525013374754,-10.510992926930983,7.687980544354653e-26,-0.000822520474621,a,har-ladder,b2_c240,,,,,,
ols_har b2 cap3125,baseline,0.1333231529068406,4.349135404309455e-11,6.594797498262896e-06,1.277561568710203e-06,0.3150961527775202,0.3984387811326461,-0.0030304332054214,0.9329059971911752,0.697086197188407,218934,0.1341525013374754,-10.58037048948591,3.675021490114088e-26,-0.0008293484306348,a,har-ladder,b2_c3125,,,,,,
