cluster,arm,bucket,chunks_ok,bars,chunks_blown,chunks_bad,qlike,mz_beta,dm,dm_p,dm_better,view_window,embedding_dim,neighbor_k,residualizer,masked,omega,status,verdict,knobs
carc,wide_af_d0,all_features,100,218934,7,0,3.0728623701074653,5.4614605571911116e-27,24.61016294324177,9.833031173105695e-134,b,12,0,100,OLS,no,1.0,"complete, 7 blown",SINGULAR (rejected),W=12 d=0 k=100 OLS mask=no
carc,wide_af_d32,all_features,99,216745,7,1,3.1270075288117485,5.9288087539316886e-27,24.635909212573196,5.210905970133631e-134,b,12,32,100,OLS,no,1.0,partial 99/100,SINGULAR (rejected),W=12 d=32 k=100 OLS mask=no
carc,wide_af_d8,all_features,100,218934,7,0,3.0699573178847044,5.460339936368117e-27,24.619171408432667,7.874597657361221e-134,b,12,8,100,OLS,no,1.0,"complete, 7 blown",SINGULAR (rejected),W=12 d=8 k=100 OLS mask=no
hoffman2,fac_W12_d0_k100_ols,baseline,100,218934,0,0,0.1321934467760275,0.9310431509480788,-14.372594878368709,7.689527083860864e-47,a,12,0,100,OLS,no,1.0,complete,beats incumbent: 0.132193,W=12 d=0 k=100 OLS mask=no
hoffman2,fac_W12_d0_k25_ols,baseline,100,218934,0,0,0.1340534392676872,0.9291718936416278,-0.5197324696668586,0.6032500526984668,a,12,0,25,OLS,no,1.0,complete,beats incumbent: 0.134053,W=12 d=0 k=25 OLS mask=no
hoffman2,fac_W12_d6_k100_ols,baseline,100,218934,0,0,0.1336395173296233,0.9214094268374492,-4.611740887208854,3.99310558367067e-06,a,12,6,100,OLS,no,1.0,complete,beats incumbent: 0.133640,W=12 d=6 k=100 OLS mask=no
hoffman2,fac_W12_d6_k25_ols,baseline,100,218934,0,0,0.13675742564423,0.9136146021433568,13.157445984788389,1.5421102318514812e-39,b,12,6,25,OLS,no,1.0,complete,loses: 0.136757,W=12 d=6 k=25 OLS mask=no
hoffman2,fac_W24_d0_k100_ols,baseline,100,218934,0,0,0.1321764981877564,0.9323508508987643,-12.905583923950598,4.186300455684584e-38,a,24,0,100,OLS,no,1.0,complete,beats incumbent: 0.132176,W=24 d=0 k=100 OLS mask=no
hoffman2,fac_W24_d0_k25_ols,baseline,100,218934,0,0,0.1339657827865059,0.92469278214746,-0.8808279953245038,0.378410924774674,a,24,0,25,OLS,no,1.0,complete,beats incumbent: 0.133966,W=24 d=0 k=25 OLS mask=no
hoffman2,fac_W24_d6_k100_ols,baseline,100,218934,0,0,0.133991563902122,0.9296009062866794,-1.606280560184122,0.1082122796571559,a,24,6,100,OLS,no,1.0,complete,beats incumbent: 0.133992,W=24 d=6 k=100 OLS mask=no
hoffman2,fac_W24_d6_k25_ols,baseline,100,218934,0,0,0.1370069609942358,0.9244234717476418,15.66380878105507,2.6739268115753167e-55,b,24,6,25,OLS,no,1.0,complete,loses: 0.137007,W=24 d=6 k=25 OLS mask=no
hoffman2,spectral_knn_backtest,baseline,1,2189,0,0,,,,,,,,,,,,partial 1/100,not pooled,
hoffman2,spectral_knn_fixed,baseline,100,218934,0,0,,,,,,,,,,,,complete,not pooled,
hoffman2,spectral_knn_fixed,liquidity,100,218934,0,0,,,,,,,,,,,,complete,not pooled,
hoffman2,spectral_knn_fixed,market_ew,100,218934,0,0,,,,,,,,,,,,complete,not pooled,
hoffman2,spectral_knn_fixed,moments,100,218934,0,0,,,,,,,,,,,,complete,not pooled,
