window,views,representation,weighting,d,captured,null_mean,null_std
2013-11-06..2015-09-24,resid,recw,binary,5,0.0008417477847419543,0.0004383865071980597,0.00025058968402452437
2013-11-06..2015-09-24,resid,recw,binary,6,0.0008440912974203324,0.00046513035041906845,0.00023741748737538042
2013-11-06..2015-09-24,resid,recw,binary,7,0.0008692046045762845,0.0005337413852145865,0.00023225614697940282
2013-11-06..2015-09-24,resid,recw,binary,8,0.0026349264166581187,0.0006178503092899256,0.00024156500731197078
2013-11-06..2015-09-24,resid,recw,binary,9,0.0036993687439205343,0.0007408543703294133,0.00027543273617356524
2013-11-06..2015-09-24,resid,recw,binary,10,0.004502274588779673,0.0008516628728419788,0.000327879390643273
2013-11-06..2015-09-24,resid,recw,binary,11,0.0045846770043972375,0.0009699241574832998,0.0003775415346719138
2013-11-06..2015-09-24,resid,recw,binary,12,0.0055179028853864125,0.0011228629291020636,0.0004585013907984896
2013-11-06..2015-09-24,resid,recw,binary,13,0.0055314908033925365,0.0011633821332635557,0.00046521595229704157
2013-11-06..2015-09-24,resid,recw,binary,14,0.005556669358256377,0.0011992518510391841,0.0004694561297267143
2013-11-06..2015-09-24,resid,recw,binary,15,0.0062806525034525265,0.0012611280957622935,0.0004909145721366399
2013-11-06..2015-09-24,resid,recw,binary,16,0.006286385408191792,0.001399058753385154,0.0005471898644453466
2013-11-06..2015-09-24,resid,recw,binary,17,0.0064705887745192085,0.0015073819962633827,0.0005937530862912054
2013-11-06..2015-09-24,resid,recw,binary,18,0.006968615026853268,0.001588964762347119,0.0005795409557860538
2013-11-06..2015-09-24,resid,recw,binary,19,0.007186388359161766,0.0017029427213000573,0.0005402798948500073
2013-11-06..2015-09-24,resid,recw,binary,20,0.007191805472740986,0.0018034899913172368,0.0005624268375582978
2013-11-06..2015-09-24,resid,recw,binary,21,0.007319290405809233,0.0018468533180935308,0.0005677311055909337
2013-11-06..2015-09-24,resid,recw,binary,22,0.007356469240121407,0.0018999252260709504,0.0005449293895213223
2013-11-06..2015-09-24,resid,recw,binary,23,0.00739836415331275,0.0019484844770420021,0.0005592188595999421
2013-11-06..2015-09-24,resid,recw,binary,24,0.007938550675294082,0.0020393101371192447,0.00054553648514991
2013-11-06..2015-09-24,resid,recw,binary,25,0.008049064428526107,0.002102455501007408,0.0005729027085240108
2013-11-06..2015-09-24,resid,recw,binary,26,0.00839853613564426,0.0022077216420027567,0.0005571328695924261
