book,unit,reference,sample,n,mean_diff,sd_diff,t_hac,t_lag,d_Sharpe
E1 ratio of sums | ewma hl 63 | flatten,index points per contract,fixed 13:30,all,1279,-0.09787823144119379,5.26014540797247,-0.7037665587374592,16,-0.32274362829302106
E1 ratio of sums | ewma hl 63 | flatten,index points per contract,fixed 15:00,deck in-sample,866,0.2139409112795195,5.101862995795601,1.3218021634549078,14,0.5869275425237295
E1 ratio of sums | ewma hl 63 | flatten,index points per contract,fixed 15:00,unseen,413,0.5475287638584251,6.6639943453419015,1.6971864938195549,11,1.2548471178877758
E1 ratio of sums | ewma hl 63 | flatten,index points per contract,fixed 15:00,all,1279,0.32165927180734444,5.653162780217398,2.159690353956929,16,0.8251885062965197
E1 ratio of sums | ewma hl 63 | flatten,index points per contract,43 P&L-Sharpe rolling 252,deck in-sample,866,-0.3366529661125127,5.092003978308853,-2.002643193288341,14,-0.8766658099221722
E1 ratio of sums | ewma hl 63 | flatten,index points per contract,43 P&L-Sharpe rolling 252,unseen,413,0.07157945259590012,8.211534687411204,0.2515268182432331,11,0.5241349821173292
E1 ratio of sums | ewma hl 63 | flatten,index points per contract,43 P&L-Sharpe rolling 252,all,1279,-0.2048312390393504,6.270857630992837,-1.4022153805592619,16,-0.21886020490748137
E2 relative ratio of sums | rolling 126 | hold,premium,fixed 11:00,deck in-sample,866,-0.0412918038120479,0.6375465991623271,-1.7761154002492865,14,-2.5892886720703086
E2 relative ratio of sums | rolling 126 | hold,premium,fixed 11:00,unseen,413,0.030061807190707602,0.539696606698993,1.1325711642117717,11,0.2694946808596852
E2 relative ratio of sums | rolling 126 | hold,premium,fixed 11:00,all,1279,-0.018251114723589708,0.608379653978458,-0.9929964721809841,16,-1.6385678228344176
E2 relative ratio of sums | rolling 126 | hold,premium,fixed 13:30,deck in-sample,866,-0.02291540252920667,0.5455405868054586,-1.1597264498384674,14,-0.9797772245643847
E2 relative ratio of sums | rolling 126 | hold,premium,fixed 13:30,unseen,413,-0.00830448695959219,0.42004211393700436,-0.4198730776774419,11,-0.5005183445194752
E2 relative ratio of sums | rolling 126 | hold,premium,fixed 13:30,all,1279,-0.018197413373420294,0.5082939972006886,-1.21441587305864,16,-0.8652798531526105
