,sign(s),tail: p-hat > break-even p*,tail: p-hat > trailing top quintile,sign(s) AND p-hat > trailing median,sign(s) OR break-even
2023-01-03,0.3821055677643268,0.3821055677643268,0.3821055677643268,0.3821055677643268,0.3821055677643268
2023-01-04,-0.20757124885956446,0.11284832314495398,0.2659996188416772,-0.20757124885956446,0.08736644372512567
2023-01-05,0.7361246674888575,-0.6094576463047892,-1.4365787377184316,0.7361246674888575,-0.47183817778435294
2023-01-06,1.0,-0.8143939393939394,1.0,1.0,-0.6304985337243403
2023-01-09,-0.37421246243112904,-0.3047563614495937,-0.7183542805597567,-0.6004155180797967,-0.23594040886420165
2023-01-10,1.0786517744879465,0.8784474678595019,2.0706261742402545,1.7306726232455858,0.680088362213808
2023-01-11,1.40252685546875,1.1422093709309897,2.6923506600516185,2.2503229397446365,0.8842911258820566
2023-01-12,1.0,-0.8143939393939394,-1.9196428571428572,1.0,-0.6304985337243403
2023-01-13,1.0,-0.8143939393939394,1.0,1.0,-0.6304985337243403
2023-01-17,-1.0,-0.8143939393939394,-1.9196428571428572,-1.6044776119402986,-0.6304985337243403
2023-01-18,1.395675774119474,-1.560894901689878,-1.560894901689878,2.2393305331021414,0.879971529136912
2023-01-19,2.1666472815235154,1.7645044148771054,4.159188977924606,3.47633705617579,1.3660679340984043
2023-01-20,-0.23741591770922144,-0.23741591770922144,-0.23741591770922144,-0.23741591770922144,-0.23741591770922144
2023-01-23,0.19158676505166594,-0.19260307458718717,-0.4539929615269412,0.19158676505166594,-0.14911205774491912
2023-01-24,1.0,-0.8143939393939394,-1.9196428571428572,1.0,-0.6304985337243403
2023-01-25,0.7676246279761905,-0.6320936124885833,-1.489934943723089,0.7676246279761905,-0.4893627967653549
2023-01-26,-0.20665147569444442,0.10687756971643449,0.2519257000458813,-0.20665147569444442,0.08274392494175574
2023-01-27,-1.5557417986753044,1.1787927600626682,2.778582934433432,-1.5557417986753044,0.9126137497259368
2023-01-30,1.0,-0.8143939393939394,-1.9196428571428572,1.0,-0.6304985337243403
2023-01-31,-3.3252190640268235,2.5442043488446218,5.997053107990894,-3.3252190640268235,1.9697065926539008
2023-02-01,0.603421966477824,0.603421966477824,0.603421966477824,0.603421966477824,0.603421966477824
2023-02-02,-0.7162517407327811,0.5361975423009779,1.263894206852305,-0.7162517407327811,0.41512067791043455
2023-02-03,1.0,-0.8143939393939394,-1.9196428571428572,1.0,-0.6304985337243403
2023-02-06,-0.10546875,0.039326511159062896,0.09269820487493396,-0.10546875,0.030446331219919662
2023-02-07,-0.4805194998213719,-0.3913321684151324,0.44444442972724785,-0.7709827795641415,-0.30296684006332836
2023-02-08,-1.0,-0.8143939393939394,-1.9196428571428572,-1.6044776119402986,-0.6304985337243403
2023-02-09,-0.7794117708932156,0.7674418535880704,0.7674418535880704,-1.2505487368809056,-0.49141797871566384
2023-02-10,0.10492449244987034,-0.12500491174771097,-0.29465443483389014,0.10492449244987034,-0.09677799619177625
2023-02-13,-0.38857886904761907,0.24577815552587592,0.5793342237395647,-0.38857886904761907,0.19027986234261365
2023-02-14,0.3327384378913867,-0.29770540963663183,-0.701734179857775,0.3327384378913867,-0.23048160746061822
2023-02-15,-0.52001953125,0.34251690709683047,0.8073612810139575,-0.52001953125,0.2651743796878688
2023-02-16,0.24546591354471992,0.1999059523186166,0.4712068876081677,0.393844562776976,0.15476589856925158
2023-02-17,0.43193222236453754,0.43193222236453754,0.43193222236453754,0.43193222236453754,0.43193222236453754
2023-02-21,0.5639488277114622,-0.4811298930561626,0.5639488277114622,0.5639488277114622,-0.37248765914025495
