,w0p5_K_c,w0p5_K_p,w0p5_entry,w0p5_ask,w0p5_pay,w1_K_c,w1_K_p,w1_entry,w1_ask,w1_pay,w2_K_c,w2_K_p,w2_entry,w2_ask,w2_pay
2021-03-05,3860.0,3815.0,1.550000011920929,1.7000000476837158,0.0,3880.0,3795.0,0.2500000037252903,0.3500000014901161,0.0,3915.0,3760.0,0.07500000111758709,0.15000000223517418,0.0
2021-03-08,3855.0,3815.0,1.899999976158142,2.049999952316284,0.0,3875.0,3795.0,0.35000001080334187,0.45000001788139343,0.0,3915.0,3755.0,0.05000000074505806,0.10000000149011612,0.0
2021-03-10,3925.0,3885.0,0.8000000081956387,0.9500000029802322,0.0,3945.0,3865.0,0.1250000037252903,0.20000000670552254,0.0,3985.0,3825.0,0.05000000074505806,0.10000000149011612,0.0
2021-03-12,3960.0,3915.0,0.27500000409781933,0.3500000014901161,0.0,3980.0,3895.0,0.05000000074505806,0.10000000149011612,0.0,4020.0,3855.0,0.05000000074505806,0.10000000149011612,0.0
2021-03-15,3970.0,3930.0,0.1250000037252903,0.20000000670552254,0.0,3990.0,3910.0,0.05000000074505806,0.10000000149011612,0.0,4030.0,3870.0,0.05000000074505806,0.10000000149011612,0.0
2021-03-17,3995.0,3950.0,0.8249999955296516,0.949999988079071,0.0,4015.0,3930.0,0.1750000026077032,0.2500000037252903,0.0,4055.0,3890.0,0.05000000074505806,0.10000000149011612,0.0
2021-03-19,3945.0,3900.0,0.550000011920929,0.6500000059604645,0.0,3965.0,3880.0,0.1250000037252903,0.20000000670552254,0.0,4005.0,3840.0,0.05000000074505806,0.10000000149011612,0.0
2021-03-22,3970.0,3925.0,0.15000000409781933,0.20000000670552254,0.0,3990.0,3905.0,0.05000000074505806,0.10000000149011612,0.0,4025.0,3865.0,0.05000000074505806,0.10000000149011612,0.0
2021-03-24,3930.0,3885.0,0.32500000670552254,0.4000000059604645,0.0,3950.0,3865.0,0.10000000149011612,0.15000000223517418,0.0,3990.0,3830.0,0.05000000074505806,0.10000000149011612,0.0
2021-03-26,3965.0,3920.0,0.6000000070780516,0.700000025331974,9.5400390625,3985.0,3900.0,0.2000000048428774,0.2500000037252903,0.0,4025.0,3860.0,0.05000000074505806,0.10000000149011612,0.0
2021-03-29,4005.0,3960.0,0.450000012293458,0.550000011920929,0.0,4025.0,3940.0,0.10000000149011612,0.15000000223517418,0.0,4065.0,3900.0,0.05000000074505806,0.10000000149011612,0.0
2021-03-31,4010.0,3965.0,0.44999999925494194,0.5499999970197678,0.0,4030.0,3945.0,0.10000000149011612,0.15000000223517418,0.0,4070.0,3905.0,0.05000000074505806,0.10000000149011612,0.0
2021-04-01,4035.0,3990.0,0.1750000026077032,0.2500000037252903,0.0,4055.0,3970.0,0.10000000149011612,0.15000000223517418,0.0,4095.0,3930.0,0.05000000074505806,0.10000000149011612,0.0
2021-04-05,4095.0,4050.0,0.2000000048428774,0.2500000074505806,0.0,4115.0,4030.0,0.05000000074505806,0.10000000149011612,0.0,4160.0,3990.0,0.05000000074505806,0.10000000149011612,0.0
2021-04-07,4095.0,4050.0,0.10000000149011612,0.15000000223517418,0.0,4115.0,4030.0,0.07500000111758709,0.15000000223517418,0.0,4160.0,3990.0,0.05000000074505806,0.10000000149011612,0.0
2021-04-09,4140.0,4095.0,0.17500000447034836,0.2500000074505806,0.0,4160.0,4075.0,0.05000000074505806,0.10000000149011612,0.0,4205.0,4035.0,0.05000000074505806,0.10000000149011612,0.0
2021-04-12,4145.0,4100.0,0.15000000223517418,0.20000000298023224,0.0,4165.0,4080.0,0.05000000074505806,0.10000000149011612,0.0,4210.0,4040.0,0.05000000074505806,0.10000000149011612,0.0
2021-04-14,4155.0,4110.0,0.25000000558793545,0.30000000447034836,0.0,4175.0,4090.0,0.07500000111758709,0.15000000223517418,0.0,4215.0,4045.0,0.05000000074505806,0.10000000149011612,0.0
2021-04-16,4210.0,4165.0,0.17500000447034836,0.2500000074505806,0.0,4230.0,4145.0,0.05000000074505806,0.10000000149011612,0.0,4275.0,4100.0,0.05000000074505806,0.10000000149011612,0.0
2021-04-19,4180.0,4130.0,0.10000000149011612,0.15000000223517418,0.0,4200.0,4110.0,0.05000000074505806,0.10000000149011612,0.0,4240.0,4070.0,0.05000000074505806,0.10000000149011612,0.0
2021-04-21,4185.0,4140.0,0.12500000186264515,0.20000000298023224,0.0,4210.0,4120.0,0.05000000074505806,0.10000000149011612,0.0,4250.0,4080.0,0.05000000074505806,0.10000000149011612,0.0
2021-04-23,4215.0,4165.0,0.15000000409781933,0.2500000074505806,0.0,4235.0,4145.0,0.05000000074505806,0.10000000149011612,0.0,4275.0,4105.0,0.05000000074505806,0.10000000149011612,0.0
2021-04-26,4210.0,4160.0,0.10000000149011612,0.15000000223517418,0.0,4230.0,4140.0,0.05000000074505806,0.10000000149011612,0.0,4270.0,4100.0,0.05000000074505806,0.10000000149011612,0.0
2021-04-28,4215.0,4170.0,0.22500000335276127,0.30000000447034836,0.0,4235.0,4145.0,0.05000000074505806,0.10000000149011612,0.0,4280.0,4105.0,0.05000000074505806,0.10000000149011612,0.0
2021-04-30,4210.0,4165.0,0.35000001080334187,0.45000001788139343,0.0,4230.0,4140.0,0.10000000149011612,0.15000000223517418,0.0,4270.0,4100.0,0.05000000074505806,0.10000000149011612,0.0
2021-05-03,4220.0,4175.0,0.10000000149011612,0.15000000223517418,0.0,4240.0,4155.0,0.05000000074505806,0.10000000149011612,0.0,4285.0,4110.0,0.05000000074505806,0.10000000149011612,0.0
2021-05-05,4190.0,4145.0,0.4250000100582838,0.5000000074505806,0.0,4210.0,4125.0,0.1250000037252903,0.20000000670552254,0.0,4255.0,4080.0,0.05000000074505806,0.10000000149011612,0.0
2021-05-07,4260.0,4210.0,0.22500000521540642,0.30000000447034836,0.0,4280.0,4190.0,0.10000000149011612,0.15000000223517418,0.0,4325.0,4150.0,0.05000000074505806,0.10000000149011612,0.0
2021-05-10,4230.0,4180.0,0.2000000048428774,0.2500000037252903,0.0,4250.0,4160.0,0.07500000111758709,0.15000000223517418,0.0,4290.0,4120.0,0.05000000074505806,0.10000000149011612,0.0
2021-05-12,4090.0,4045.0,1.625,1.75,0.0,4110.0,4025.0,0.27500000409781933,0.3500000014901161,0.0,4150.0,3980.0,0.07500000111758709,0.15000000223517418,0.0
2021-05-14,4200.0,4155.0,0.49999999441206455,0.5999999940395355,0.0,4225.0,4135.0,0.2000000048428774,0.2500000037252903,0.0,4265.0,4090.0,0.10000000149011612,0.15000000223517418,0.0
2021-05-17,4180.0,4135.0,0.3250000085681677,0.4000000134110451,0.0,4200.0,4115.0,0.10000000149011612,0.15000000223517418,0.0,4245.0,4070.0,0.05000000074505806,0.10000000149011612,0.0
2021-05-19,4130.0,4085.0,0.7250000089406967,0.8500000238418579,0.0,4150.0,4065.0,0.1250000037252903,0.20000000670552254,0.0,4190.0,4020.0,0.05000000074505806,0.10000000149011612,0.0
2021-05-21,4190.0,4145.0,0.25000000558793545,0.30000000447034836,0.0,4210.0,4120.0,0.07500000111758709,0.15000000223517418,0.0,4250.0,4080.0,0.05000000074505806,0.10000000149011612,0.0
2021-05-24,4230.0,4180.0,0.05000000074505806,0.10000000149011612,0.0,4250.0,4160.0,0.05000000074505806,0.10000000149011612,0.0,4295.0,4120.0,0.05000000074505806,0.10000000149011612,0.0
2021-05-26,4220.0,4170.0,0.10000000149011612,0.15000000223517418,0.0,4240.0,4150.0,0.05000000074505806,0.10000000149011612,0.0,4280.0,4110.0,0.05000000074505806,0.10000000149011612,0.0
2021-05-28,4235.0,4190.0,0.10000000149011612,0.15000000223517418,0.0,4255.0,4170.0,0.05000000074505806,0.10000000149011612,0.0,4300.0,4125.0,0.05000000074505806,0.10000000149011612,0.0
2021-06-01,4230.0,4180.0,0.10000000149011612,0.15000000223517418,0.0,4250.0,4160.0,0.05000000074505806,0.10000000149011612,0.0,4290.0,4120.0,0.05000000074505806,0.10000000149011612,0.0
2021-06-02,4225.0,4180.0,0.10000000149011612,0.15000000223517418,0.0,4245.0,4160.0,0.05000000074505806,0.10000000149011612,0.0,4290.0,4115.0,0.05000000074505806,0.10000000149011612,0.0
