era,leg,theta,model,n_contracts,n_days,frac_traded,frac_long,sh_daily_mid,sh_daily_crossed,mean_per_trade_mid,hit_mid
daily_0dte,put,0.1,b2,14864,433,0.6271465339015232,0.32534492215518335,0.7420456221225505,-2.7553236644659065,0.0005776889003209224,0.5096205597416577
daily_0dte,put,0.1,a0,15386,433,0.6491709210581832,0.346567655373191,0.20696103979204303,-3.28730983692585,-0.0008878357585473089,0.5076693097621214
daily_0dte,put,0.1,b2_minus_a0_t,23701,433,,,0.4821519333067277,,0.0009386527486341922,
daily_0dte,put,0.2,b2,8290,428,0.3497742711278005,0.161723134044977,1.2991116523180413,-1.4994969710230235,0.007111155236730745,0.5318455971049457
daily_0dte,put,0.2,a0,8626,429,0.3639508881481794,0.18218640563689295,0.9437151469289362,-1.7372035897555849,-0.003890778735389304,0.5176211453744494
daily_0dte,put,0.2,b2_minus_a0_t,23701,433,,,1.1648669165547065,,0.003903351516137124,
daily_0dte,put,,always_short,23701,433,1.0,0.0,4.631502403669613,,0.09017606385458125,0.6690435002742501
daily_0dte,put,,always_long,23701,433,1.0,1.0,-4.631502403669613,,-0.09017606385458125,0.33095649972575
daily_0dte,both,0.0,b2,47504,433,1.0,0.5186510609632873,-0.03147982695525924,-4.240187520234656,-0.001432536956749593,0.5052206130010104
daily_0dte,both,0.0,a0,47504,433,1.0,0.5269029976423039,-0.20180587376386452,-4.455539021223833,-0.0012928864147530583,0.507494105759515
daily_0dte,both,0.0,b2_minus_a0_t,47504,433,,,0.46345733532914213,,-0.00013965054199653587,
daily_0dte,both,0.05,b2,38426,433,0.8089003031323678,0.4200277871337151,0.2476844136391682,-3.566785237788191,0.0010339159446252034,0.5095248009160465
daily_0dte,both,0.05,a0,39050,433,0.822036039070394,0.4351002020882452,-0.13889111806923274,-3.9929376467248336,-0.0019054690939368357,0.5106530089628681
daily_0dte,both,0.05,b2_minus_a0_t,47504,433,,,1.0188192931851403,,0.0024026991875716035,
daily_0dte,both,0.1,b2,29718,433,0.6255894240485012,0.3218044796227686,0.47494818963973295,-3.05723434303875,0.00010545332640389428,0.5128205128205128
daily_0dte,both,0.1,a0,30674,433,0.6457140451330414,0.34138177837655775,-0.00588741357544309,-3.527001215776595,-0.0034994146640156053,0.5103018843320075
daily_0dte,both,0.1,b2_minus_a0_t,47504,433,,,0.8049706652358728,,0.002325591684028411,
daily_0dte,both,0.2,b2,16657,430,0.3506441562815763,0.15895503536544292,1.2804420484315524,-1.591087193794885,0.004156696446984302,0.5352704568649816
daily_0dte,both,0.2,a0,17320,432,0.3646008757157292,0.17922701246210845,1.1627020065728333,-1.787107920279943,-0.005618129504439923,0.5222286374133949
daily_0dte,both,0.2,b2_minus_a0_t,47504,433,,,0.9886950600513531,,0.003505896255774607,
daily_0dte,both,,always_short,47504,433,1.0,0.0,4.930931915772111,,0.09289552931496144,0.6706803637588413
daily_0dte,both,,always_long,47504,433,1.0,1.0,-4.930931915772111,,-0.09289552931496144,0.3293196362411586
