era,k,entry_et,target_et,model,n_days,qlike
daily_0dte,1,10:30,11:30,M4,489,0.22421273652289977
daily_0dte,1,10:30,12:00,M4,489,0.5126928319247763
daily_0dte,1,10:30,12:30,M4,489,0.4734891488489261
daily_0dte,1,10:30,13:00,M4,489,0.5580595094210926
daily_0dte,1,10:30,13:30,M4,489,0.542770431123159
daily_0dte,1,10:30,14:00,M4,489,0.39184842098609113
daily_0dte,1,10:30,14:30,M4,489,0.39643160390363036
daily_0dte,1,10:30,15:00,M4,489,0.33900383668275175
daily_0dte,1,10:30,15:30,M4,489,0.374425836928483
all,2,11:00,11:30,M0,737,0.2829836568651489
all,2,11:00,12:00,M0,737,0.23997704005702838
all,2,11:00,12:30,M0,737,0.4781371628163556
all,2,11:00,13:00,M0,737,0.39219999844337894
all,2,11:00,13:30,M0,737,0.47553256470492977
all,2,11:00,14:00,M0,737,0.24446091208015647
all,2,11:00,14:30,M0,737,0.37887630820374923
all,2,11:00,15:00,M0,737,0.3037229833470209
all,2,11:00,15:30,M0,737,0.26536251083668844
all,2,11:00,11:30,M1,737,0.2022850934260131
all,2,11:00,12:00,M1,737,0.4692381279462342
all,2,11:00,12:30,M1,737,0.41417870941910595
all,2,11:00,13:00,M1,737,0.44643085597154697
all,2,11:00,13:30,M1,737,0.6233353931769143
all,2,11:00,14:00,M1,737,0.4932635584635456
all,2,11:00,14:30,M1,737,0.378333152130432
all,2,11:00,15:00,M1,737,0.4384834566039326
all,2,11:00,15:30,M1,737,0.5473975622345779
all,2,11:00,11:30,M2,737,0.19679465582398598
all,2,11:00,12:00,M2,737,0.289381244019534
all,2,11:00,12:30,M2,737,0.3493738295540114
all,2,11:00,13:00,M2,737,0.43482841930244903
all,2,11:00,13:30,M2,737,0.4948337006262727
all,2,11:00,14:00,M2,737,0.3761080974961821
all,2,11:00,14:30,M2,737,0.36496326254645767
all,2,11:00,15:00,M2,737,0.34145851417323225
all,2,11:00,15:30,M2,737,0.35476825538882517
all,2,11:00,11:30,M3,737,0.2666123179181644
all,2,11:00,12:00,M3,737,0.5725000976540157
all,2,11:00,12:30,M3,737,0.5448390825569175
all,2,11:00,13:00,M3,737,0.6714291155450747
all,2,11:00,13:30,M3,737,0.630115943523218
all,2,11:00,14:00,M3,737,0.48048716211708553
all,2,11:00,14:30,M3,737,0.5039217964760119
