day_role,rep_date,entry_clock,terminal,convention,era,n_sessions,mean_premium_pts,total_mean_pts,total_sd_pts,total_p1_pts,total_min_pts,total_mean_dollars,total_p1_dollars,option_mean_pts,option_sd_pts,option_p1_pts,option_min_pts,option_mean_dollars,option_p1_dollars,hedge_mean_pts,hedge_sd_pts,hedge_p1_pts,hedge_min_pts,hedge_mean_dollars,hedge_p1_dollars,total_mean_units,total_p1_units
median premium,2023-01-23,13:30,flatten at 15:30,"repriced premium, frozen implied",2020-2024,1088,13.41526420825276,-0.21175108822092725,10.854113966415385,-39.028573591954604,-155.69245832115578,-21.175108822092724,-3902.8573591954605,-0.432249266113923,12.543873636293373,-47.43526859250982,-89.33335947636746,-43.2249266113923,-4743.526859250982,0.22049817789299575,11.852948810116434,-36.390336971815984,-126.42901395431389,22.049817789299574,-3639.033697181598,-0.08576954763780985,-2.709062433747541
median premium,2023-01-23,13:30,hold to cash settlement,49 frozen (reproduced),1998-2007,2493,11.5,-3.70977703268192,12.682752340346207,-52.716008920326225,-148.33081481682353,-370.97770326819204,-5271.600892032622,-4.616380741274899,18.618546530086153,-76.75165405984234,-169.56383513816218,-461.63807412748986,-7675.165405984234,0.9066037085929782,16.231494624491937,-39.780211071326626,-135.91342576306084,90.66037085929783,-3978.0211071326626,-0.31843580070682637,-4.524979362028302
median premium,2023-01-23,13:30,hold to cash settlement,49 frozen (reproduced),2008-2009,501,11.5,-16.222914568925177,37.18190795694668,-163.56176512763074,-431.99271917596803,-1622.2914568925175,-16356.176512763073,-16.964816494132876,41.29607483505947,-188.6036404832621,-344.65635127173664,-1696.4816494132876,-18860.36404832621,0.7419019252077,39.71818649301506,-112.78339098957778,-269.23861617882545,74.19019252077,-11278.339098957778,-1.3925248728006405,-14.039636664035783
median premium,2023-01-23,13:30,hold to cash settlement,49 frozen (reproduced),2010-2019,2511,11.5,2.7461997320709632,9.827207349295563,-28.74777996391253,-159.8654659323507,274.61997320709634,-2874.777996391253,2.1330276097321423,13.865970006730706,-55.58990735334137,-108.37370189643843,213.30276097321422,-5558.990735334137,0.6131721223388212,9.633742385473562,-20.070710203769128,-73.40690110440224,61.317212233882124,-2007.0710203769129,0.23572530178469855,-2.467620628060815
median premium,2023-01-23,13:30,hold to cash settlement,49 frozen (reproduced),2020-2024,1088,11.5,-2.356974448860992,19.445589093536622,-64.90251365344618,-394.6826002094197,-235.69744488609922,-6490.251365344618,-3.2307609811177977,20.485225678241537,-98.36676566202665,-177.92899004216633,-323.0760981117798,-9836.676566202665,0.8737865322568062,17.751150298340008,-42.759111817319216,-270.64138693371416,87.37865322568062,-4275.911181731922,-0.2023154058199521,-5.571031283295158
median premium,2023-01-23,13:30,flatten at 15:30,49 frozen (reproduced),1998-2007,2493,11.5,-3.743350282291115,9.677376133761127,-42.302630557534464,-137.397478542587,-374.3350282291115,-4230.263055753447,-4.428268487187612,13.751397655924492,-56.168554681277364,-142.669010148702,-442.8268487187612,-5616.8554681277365,0.6849182048964977,11.644243777732862,-27.270348882079308,-89.18749542626827,68.49182048964977,-2727.0348882079306,-0.3213176247430017,-3.6311271310705036
median premium,2023-01-23,13:30,flatten at 15:30,49 frozen (reproduced),2008-2009,501,11.5,-12.63375069180427,31.013900301325315,-127.42549303020253,-431.99271917596803,-1263.375069180427,-12742.549303020252,-11.94012665879884,29.004772230196306,-143.42017120560195,-231.07544435868658,-1194.012665879884,-14342.017120560195,-0.6936240330054295,27.469359751983397,-89.82558689209611,-257.8569515574837,-69.36240330054295,-8982.55868920961,-1.0844421327841167,-10.937810694838532
median premium,2023-01-23,13:30,flatten at 15:30,49 frozen (reproduced),2010-2019,2511,11.5,0.8557781058116615,6.3175748594150445,-22.97034475155715,-73.03417829731389,85.57781058116615,-2297.034475155715,0.5574080196636731,9.297637425025174,-38.868447931612444,-104.49058553460736,55.740801966367314,-3886.8447931612445,0.2983700861479882,6.597011821558144,-16.433357224544572,-44.4963356585416,29.837008614798822,-1643.3357224544573,0.07345734904032784,-1.9717034363615098
median premium,2023-01-23,13:30,flatten at 15:30,49 frozen (reproduced),2020-2024,1088,11.5,-2.1270152964736853,11.57824783271097,-57.022147800547934,-160.06017972247153,-212.70152964736852,-5702.214780054794,-2.3475134743666812,12.694358559671405,-52.512450590088704,-106.556503218957,-234.7513474366681,-5251.24505900887,0.22049817789299575,11.852948810116434,-36.390336971815984,-126.42901395431389,22.049817789299574,-3639.033697181598,-0.1825764225400388,-4.894605021521614
p75 premium,2022-06-27,13:30,hold to cash settlement,repriced premium + repriced implied,1998-2007,2493,13.136048114130594,-1.48701027858094,10.073662173269042,-38.70966738699573,-125.87446619470177,-148.701027858094,-3870.9667386995734,-2.4170791352249874,16.896087658360546,-65.0089039681626,-154.64491932041162,-241.70791352249873,-6500.890396816259,0.9300688566440474,14.247240482243832,-33.15499959619013,-128.28335918938234,93.00688566440473,-3315.499959619013,-0.09090827259465836,-2.4517690478553744
p75 premium,2022-06-27,13:30,hold to cash settlement,repriced premium + repriced implied,2008-2009,501,22.849595759923094,-4.238701814655074,27.300466549447474,-109.97548426981214,-363.04176931844904,-423.8701814655074,-10997.548426981215,-4.67325474783084,35.169405040695466,-142.77265396472174,-290.98929711879845,-467.325474783084,-14277.265396472174,0.43455293317576665,31.98877338452568,-80.1218885192196,-237.0625281637331,43.45529331757667,-8012.188851921959,-0.11965775329830032,-3.203755875175239
p75 premium,2022-06-27,13:30,hold to cash settlement,repriced premium + repriced implied,2010-2019,2511,9.831988993724256,1.3694333995111332,7.925531766534255,-23.912382380146333,-125.08603072320068,136.94333995111333,-2391.238238014633,0.7992102853879263,12.336902102178065,-50.8183858339053,-101.1753000765812,79.92102853879263,-5081.83858339053,0.5702231141232071,8.937233384611083,-18.620563631479865,-55.96268383869692,57.02231141232071,-1862.0563631479865,0.17278193037313394,-2.3152250514606183
p75 premium,2022-06-27,13:30,hold to cash settlement,repriced premium + repriced implied,2020-2024,1088,13.000872173868649,-0.4356860308851244,15.100208244074542,-49.621517064805715,-239.3573866486186,-43.56860308851244,-4962.151706480571,-1.2340149867354135,18.096273218899846,-81.3208734905332,-148.1875912550248,-123.40149867354135,-8132.08734905332,0.7983289558502894,14.725887122845242,-33.262946712700355,-154.88907900379877,79.83289558502894,-3326.2946712700355,-0.01634410202797857,-3.611738264173238
p75 premium,2022-06-27,13:30,flatten at 15:30,repriced premium + repriced implied,1998-2007,2493,13.136048114130594,-2.0501047188501285,7.438855418104729,-29.90769185890141,-107.46366690571912,-205.01047188501283,-2990.7691858901408,-2.752530284142454,11.850987136819294,-45.47922048173128,-126.08925579817632,-275.2530284142454,-4547.922048173128,0.7024255652923258,9.918930020875152,-22.342902759382074,-70.38499831997821,70.24255652923259,-2234.2902759382073,-0.14533324909086298,-1.9306080139407313
p75 premium,2022-06-27,13:30,flatten at 15:30,repriced premium + repriced implied,2008-2009,501,22.849595759923094,-3.56272318013597,21.873092719989433,-70.61590791989728,-363.0417719868591,-356.272318013597,-7061.590791989728,-2.865976418676105,22.220944759428825,-111.1791140360669,-189.25381373944006,-286.5976418676105,-11117.911403606691,-0.6967467614598637,20.34098435836286,-44.719361648437484,-226.03244020636214,-69.67467614598637,-4471.936164843748,-0.11643974824590493,-2.2831314222447006
p75 premium,2022-06-27,13:30,flatten at 15:30,repriced premium + repriced implied,2010-2019,2511,9.831988993724256,0.32862118834917164,5.233157090035087,-20.235895730216775,-73.95165108010593,32.86211883491716,-2023.5895730216776,0.057590211849160224,8.295322393334814,-33.762130071138245,-102.70169106467426,5.759021184916023,-3376.2130071138245,0.2710309765000114,6.170341534940464,-15.104823143437303,-36.5849769334545,27.10309765000114,-1510.4823143437302,0.05004550556518973,-1.8163035324642218
