book,variant,reference,sample,unit,n,mean_diff,sd_diff,t_diff,hac_t_diff,hac_lag,frac_days_improved,frac_days_unchanged
1100_hold,D2_skew_sticky_delta,D9_implied_bc,all,premium units,1278,-0.0018516401592566832,0.07663316075902503,-0.8637842475950549,-0.9878759218158406,16,0.5211267605633803,0.0
1100_hold,D3_charm_half,D9_implied_bc,all,premium units,1278,0.003119306702140746,0.06006701714734168,1.8564678786689723,1.873615819504223,16,0.5625978090766823,0.0
1100_hold,D3_charm_full,D9_implied_bc,all,premium units,1278,-0.008127526528594994,0.4928338414681443,-0.5895536068781959,-0.5883289199968178,16,0.46557120500782473,0.0
1100_hold,D4_D9_D1,D9_implied_bc,all,premium units,1278,-0.0049845644205068484,0.04819240038260791,-3.697550224276173,-4.213244694153641,16,0.49139280125195617,0.0
1100_hold,D4_D9_D3,D9_implied_bc,all,premium units,1278,0.003932392714981962,0.060906863304003515,2.308107731811565,2.4581543621467445,16,0.5985915492957746,0.0
1100_hold,D4_D9_D1_D3,D9_implied_bc,all,premium units,1278,-0.00030085962620983334,0.06560639138545567,-0.16393934215054112,-0.16855991856511685,16,0.4812206572769953,0.0
1100_hold,D4_D9_D2_D3,D9_implied_bc,all,premium units,1278,0.003219828894874163,0.08677394998597612,1.3265048835531488,1.3974824342584276,16,0.554773082942097,0.0
1100_hold,D5_lastbar_1.25,D9_implied_bc,all,premium units,1278,0.0025254095158398944,0.1265185607970256,0.7135805376677136,0.7012865198216864,16,0.5219092331768388,0.0
1100_hold,D5_lastbar_0.75,D9_implied_bc,all,premium units,1278,-0.003950385591717325,0.12379522728808937,-1.1407776763378163,-1.18254866559369,16,0.5391236306729265,0.0
1100_hold,D0_book,D9_implied_bc,deck_in_sample,index points per contract,865,-0.007586058384293212,0.3361340850423968,-0.6637609230686695,-0.6080269933507293,14,0.48554913294797686,0.07283236994219654
1100_hold,D1_leg_vol,D9_implied_bc,deck_in_sample,index points per contract,865,-0.1054828941079156,0.9904697489316507,-3.13219559790271,-3.8802767392212134,14,0.5271676300578034,0.0
1100_hold,D1v_vendor_delta,D9_implied_bc,deck_in_sample,index points per contract,865,-0.09175642238950339,0.9492950731126387,-2.8427803106166496,-3.252663413082154,14,0.5283236994219653,0.0
1100_hold,D2_skew_sticky_delta,D9_implied_bc,deck_in_sample,index points per contract,865,-0.00446971318713521,1.5408704669481443,-0.08531425026234063,-0.1031052374343076,14,0.5236994219653179,0.0
1100_hold,D3_charm_half,D9_implied_bc,deck_in_sample,index points per contract,865,0.061367137666458106,1.5676330895613724,1.1513291454811743,1.14137714373468,14,0.5410404624277456,0.0
1100_hold,D3_charm_full,D9_implied_bc,deck_in_sample,index points per contract,865,-0.42044245693028437,10.381471180289989,-1.1911205470444577,-1.3069062368396525,14,0.45664739884393063,0.0
1100_hold,D4_D9_D1,D9_implied_bc,deck_in_sample,index points per contract,865,-0.09729946802124634,0.8615425028297033,-3.321557783034254,-4.373523930025563,14,0.4890173410404624,0.0
1100_hold,D4_D9_D3,D9_implied_bc,deck_in_sample,index points per contract,865,0.07188771138654232,1.538124669699148,1.3745836491094372,1.4839749288639286,14,0.5838150289017341,0.0
1100_hold,D4_D9_D1_D3,D9_implied_bc,deck_in_sample,index points per contract,865,-0.007991742946855437,1.4542293891535816,-0.16162801635850682,-0.16248990246533493,14,0.4705202312138728,0.0
1100_hold,D4_D9_D2_D3,D9_implied_bc,deck_in_sample,index points per contract,865,0.08045875192199273,1.978765029820672,1.1958786669035357,1.1920501454604815,14,0.5560693641618497,0.0
1100_hold,D5_lastbar_1.25,D9_implied_bc,deck_in_sample,index points per contract,865,0.1192827870011276,2.6899411811316645,1.3041965520474323,1.3737559969477522,14,0.5271676300578034,0.0
1100_hold,D5_lastbar_0.75,D9_implied_bc,deck_in_sample,index points per contract,865,-0.13445490376971403,2.537073212182302,-1.558661112253049,-1.8193502791844478,14,0.5294797687861271,0.0
1100_hold,D0_book,D9_implied_bc,deck_in_sample,premium units,865,-0.0007468527088893335,0.017870034617839908,-1.2291860433390507,-1.318236515364596,14,0.48554913294797686,0.07283236994219654
1100_hold,D1_leg_vol,D9_implied_bc,deck_in_sample,premium units,865,-0.006830867912764077,0.05228462239666602,-3.8424653990268567,-4.371984772284465,14,0.5271676300578034,0.0
1100_hold,D1v_vendor_delta,D9_implied_bc,deck_in_sample,premium units,865,-0.0066666122468512085,0.052145656686864446,-3.760062886425803,-4.240242224939421,14,0.5283236994219653,0.0
1100_hold,D2_skew_sticky_delta,D9_implied_bc,deck_in_sample,premium units,865,-0.002013668429282063,0.07194664857260565,-0.8231622517486424,-0.9381526085732068,14,0.5236994219653179,0.0
1100_hold,D3_charm_half,D9_implied_bc,deck_in_sample,premium units,865,0.0028291076481120263,0.0634590424797234,1.3111851189934058,1.3123743532590537,14,0.5410404624277456,0.0
1100_hold,D3_charm_full,D9_implied_bc,deck_in_sample,premium units,865,-0.027414165567727675,0.49463033270873946,-1.630055305218038,-1.6380624767236722,14,0.45664739884393063,0.0
1100_hold,D4_D9_D1,D9_implied_bc,deck_in_sample,premium units,865,-0.006086238975814587,0.04551323278141659,-3.932958558858957,-4.35509892124398,14,0.4890173410404624,0.0
1100_hold,D4_D9_D3,D9_implied_bc,deck_in_sample,premium units,865,0.0037248564484842,0.06415996165066741,1.7074716368307317,1.8316672044266906,14,0.5838150289017341,0.0
1100_hold,D4_D9_D1_D3,D9_implied_bc,deck_in_sample,premium units,865,-0.0010057298148159885,0.06710998320495207,-0.4407600752745256,-0.45299718605588635,14,0.4705202312138728,0.0
1100_hold,D4_D9_D2_D3,D9_implied_bc,deck_in_sample,premium units,865,0.003357944092644517,0.08462137373237996,1.1670821951486106,1.1937188964965746,14,0.5560693641618497,0.0
1100_hold,D5_lastbar_1.25,D9_implied_bc,deck_in_sample,premium units,865,0.007560832603889731,0.12732560588673872,1.7464731980228525,1.7185525071622176,14,0.5271676300578034,0.0
1100_hold,D5_lastbar_0.75,D9_implied_bc,deck_in_sample,premium units,865,-0.009054538021668395,0.1255788492350445,-2.1205955781394725,-2.2147700262833494,14,0.5294797687861271,0.0
1100_hold,D0_book,D9_implied_bc,unseen,index points per contract,413,-0.013732455573139226,0.33505374951117456,-0.8329304633181376,-0.8614661624772691,11,0.48426150121065376,0.0
1100_hold,D1_leg_vol,D9_implied_bc,unseen,index points per contract,413,-0.04419225599457276,1.5497895737633116,-0.5794933594542416,-0.7282974004150115,11,0.5157384987893463,0.0
1100_hold,D1v_vendor_delta,D9_implied_bc,unseen,index points per contract,413,-0.0325996687568604,1.4387569147587893,-0.460469415132303,-0.5859697268574443,11,0.5181598062953995,0.0
1100_hold,D2_skew_sticky_delta,D9_implied_bc,unseen,index points per contract,413,0.05040891973232736,2.095425003661959,0.48888903244400467,0.5790185613025869,11,0.5157384987893463,0.0
