sample,window,model,n_days,QLIKE,d_vs_P,ci_lo,ci_hi,t_hac,improves,bias_mean_y_over_mean_f
deck,1000,Ssel,1087,0.17868115702659498,-0.004114117509442943,-0.0064796095415151295,-0.001882214800976432,-3.7397215307948835,True,0.9422060318111978
deck,1000,CPsel,1087,0.17873137316693966,-0.0040639013690983,-0.0066958829905794685,-0.0013822985725747805,-3.194742468308315,True,0.9475594300754663
deck,1000,Csel+clock smear,1087,0.17784432726385305,-0.0049509472721848925,-0.007868777543304492,-0.0018549645443242683,-3.220280369489478,True,0.9428231923717393
deck,expanding,P,1087,0.18373274628733105,0.0,0.0,0.0,,False,0.9475524838822348
deck,expanding,D,1087,0.18227328404291715,-0.001459462244413933,-0.002477150053793235,-0.0003126205920022442,-2.4471808318079145,True,0.941802780455707
deck,expanding,C,1087,0.179017892330998,-0.004714853956333042,-0.006273396601099715,-0.003330856013638546,-6.1925094241408996,True,0.9511631067612205
deck,expanding,S10,1087,0.17898232593914257,-0.004750420348188487,-0.00624880843569733,-0.0033955243492097492,-6.396392867080689,True,0.9511510143908153
deck,expanding,S30,1087,0.17895224632075518,-0.004780499966575861,-0.006185379708019689,-0.0034887731513928437,-6.665446215335608,True,0.9511113133419375
deck,expanding,S100,1087,0.17898221353401317,-0.004750532753317881,-0.006090534406482671,-0.003517884810564795,-7.053599322308971,True,0.9509878022555084
deck,expanding,S300,1087,0.1792120753096046,-0.00452067097772646,-0.005776403359780251,-0.003376951933832307,-7.1467956415634495,True,0.9508335422031524
deck,expanding,S1000,1087,0.17980973175577378,-0.003923014531557259,-0.005088883732961742,-0.00279583700237572,-6.475038546304358,True,0.9508570970427672
deck,expanding,CP0,1087,0.17974554979399177,-0.0039871964933393044,-0.006392523543812686,-0.0018137660732465831,-3.450036710901657,True,0.9474805545603349
deck,expanding,CP10,1087,0.1798358709029012,-0.0038968753844298453,-0.006299125676441947,-0.001708192511356671,-3.36975475358734,True,0.9478741321977082
deck,expanding,CP30,1087,0.18002955032078127,-0.003703195966549802,-0.006085861639312697,-0.0014952587440932054,-3.1875820910512327,True,0.9486621400319499
deck,expanding,CP100,1087,0.1807670508950541,-0.0029656953922769643,-0.005410995132656165,-0.0007227243170185551,-2.4600068607829844,True,0.9514026693654821
deck,expanding,CP300,1087,0.18299229810117246,-0.0007404481861586089,-0.0034897165011537816,0.001830546117436054,-0.5226563030799172,False,0.9586755127625097
deck,expanding,CP1000,1087,0.19046652292248747,0.006733776635156386,0.002826161134932813,0.010914806835681468,3.0359420316682946,False,0.9790863610330393
deck,expanding,C+clock smear,1087,0.177607208942916,-0.006125537344415028,-0.009036760875593556,-0.003143111104364177,-4.182947783834326,True,0.9483885228384544
deck,expanding,D+clock smear,1087,0.18019742625416338,-0.003535320033167707,-0.0065082722563320925,-0.000653600517400205,-2.4769100407542455,True,0.9390228038213372
deck,expanding,Ssel,1087,0.17933688700835185,-0.004395859278979191,-0.005634946513221697,-0.0031591052487968682,-6.82198273557832,True,0.9426413215046513
deck,expanding,CPsel,1087,0.18098140779742042,-0.0027513384899106458,-0.004652566893684557,-0.0008701596291817452,-2.7965388905081694,True,0.9404541762731351
deck,expanding,Csel+clock smear,1087,0.17885728492621872,-0.004875461361112338,-0.007767281298299954,-0.0018874313172491549,-3.384048713823815,True,0.9307645468416188
