,cell  sign(c * rv_hat - iv) | mid,cell  sign(c * rv_hat - iv) | crossed,T0    sign(rv_hat - iv) | mid,T0    sign(rv_hat - iv) | crossed,always short | mid,always short | crossed,c
2021-06-11,-5.164941430091858,-5.289941370487213,-5.164941430091858,-5.289941370487213,-5.164941430091858,-5.289941370487213,1.018288814691044
2021-06-14,8.049902349710464,7.899902313947678,-8.049902349710464,-8.199902355670929,-8.049902349710464,-8.199902355670929,1.0387687120454145
2021-06-16,1.200195550918579,0.9001953601837158,1.200195550918579,0.9001953601837158,1.200195550918579,0.9001953601837158,1.0259112398006816
2021-06-18,-6.724804878234863,-6.999804735183716,-6.724804878234863,-6.999804735183716,-6.724804878234863,-6.999804735183716,1.0441918095529086
2021-06-21,3.274999976158142,3.1500000953674316,3.274999976158142,3.1500000953674316,3.274999976158142,3.1500000953674316,1.0451173706900228
2021-06-23,-5.710156321525574,-5.910156309604645,-5.710156321525574,-5.910156309604645,-5.710156321525574,-5.910156309604645,1.0390491261397932
2021-06-25,3.149999976158142,3.0,3.149999976158142,3.0,3.149999976158142,3.0,1.0575761449552499
2021-06-28,1.290136694908142,1.1901366710662842,1.290136694908142,1.1901366710662842,1.290136694908142,1.1901366710662842,1.0619890263067706
2021-06-30,3.75,3.600000023841858,3.75,3.600000023841858,3.75,3.600000023841858,1.0634441043119258
2021-07-02,2.274999976158142,2.200000047683716,2.274999976158142,2.200000047683716,2.274999976158142,2.200000047683716,1.0686456964417663
2021-07-06,2.475000023841858,2.350000023841858,2.475000023841858,2.350000023841858,2.475000023841858,2.350000023841858,1.0659877943937675
2021-07-07,-2.474999964237213,-2.600000023841858,-2.474999964237213,-2.600000023841858,2.474999964237213,2.350000023841858,1.0647432989809231
2021-07-09,-2.9250000715255737,-3.100000023841858,-2.9250000715255737,-3.100000023841858,2.9250000715255737,2.75,1.058662035365851
2021-07-12,-1.8798828125,-1.9798827767372131,-1.8798828125,-1.9798827767372131,1.8798828125,1.7798828482627869,1.0670576268129306
2021-07-14,-1.999804675579071,-2.0498046875,-1.999804675579071,-2.0498046875,1.999804675579071,1.9498047232627869,1.0579442039786047
2021-07-16,2.585156202316284,2.41015625,2.585156202316284,2.41015625,2.585156202316284,2.41015625,1.0537482738930912
2021-07-19,10.790234327316284,10.390234470367432,-10.790234327316284,-11.190234184265137,-10.790234327316284,-11.190234184265137,1.055229068224431
2021-07-21,0.7399412989616394,0.5899415016174316,0.7399412989616394,0.5899415016174316,-0.7399412989616394,-0.8899413347244263,1.0782546914440942
2021-07-23,1.4599609375,1.359960913658142,1.4599609375,1.359960913658142,1.4599609375,1.359960913658142,1.0810259053940372
2021-07-26,2.649999976158142,2.5,2.649999976158142,2.5,2.649999976158142,2.5,1.091113455395095
2021-07-28,0.00986337661743164,-0.19013667106628418,0.00986337661743164,-0.19013667106628418,-0.00986337661743164,-0.20986318588256836,1.0973049326669098
2021-07-30,5.2250001430511475,5.049999952316284,5.2250001430511475,5.049999952316284,5.2250001430511475,5.049999952316284,1.1012179010153988
2021-08-02,0.3101562261581421,0.16015625,0.3101562261581421,0.16015625,0.3101562261581421,0.16015625,1.1030096169132348
