entry,flatten,forecast,signal,form,direction,sample,n_days,n_active,mean_fraction,mean_pts,Sharpe_pts,Sharpe_units,hold_Sharpe_pts,flat_Sharpe_pts,G_on_active_pts,G_mid_on_active_pts,G_on_idle_pts,d_hold_mean,d_hold_t_hac,d_hold_ci_lo,d_hold_ci_hi,d_flat_mean,d_flat_t_hac,d_flat_ci_lo,d_flat_ci_hi,d_hold_costed_mean,d_hold_units_mean,placebo_p_sharpe,placebo_p_mean,placebo_q50_sharpe,passes
11:00,15:00,blk2,stale,sign,rule,whole,865,234,0.2705202312138728,1.2949996868551967,2.9512725862252736,3.291540031368841,3.3484567202594455,1.1540018418093854,-0.858394205032367,-0.5458942096491797,-1.2079244917616343,-0.23221299881800447,-2.5885539642449364,-0.4133055000182477,-0.06165923441673133,0.8811564789613773,5.899866729917892,0.5966143691640824,1.1893806232187243,-0.20106635656052319,-0.011048741932109394,0.263368315842079,0.18790604697651175,2.8322449812555313,False
11:00,15:00,blk2,stale,sign,rule,era,489,195,0.3987730061349693,1.3617928737312142,3.0312642520270874,2.978013485363598,3.5157903705787863,1.7265022302998174,-0.7775508711055916,-0.5088329368475004,-1.1559834518706522,-0.3100662982936408,-2.636946884431641,-0.5539234341599307,-0.07191712702945166,0.6950084557259135,3.970590785281416,0.3515511632238799,1.037089534970501,-0.2630124136915702,-0.01474400869663917,0.26786606696651677,0.19490254872563717,2.874903458302338,False
11:00,15:00,blk2,stale,sign,reverse,whole,865,631,0.7294797687861272,0.6460562067118238,1.6924685105748354,1.9827022312191243,3.3484567202594455,1.1540018418093854,-1.2079244917616343,-0.7665615923744588,-0.858394205032367,-0.8811564789613773,-5.899866729917892,-1.1893806232187245,-0.5966143691640824,0.23221299881800447,2.5885539642449364,0.06165923441673132,0.4133055000182476,-0.799103589765438,-0.04708937514623281,0.7746126936531734,0.8215892053973014,1.8352361097404868,False
11:00,15:00,blk2,stale,sign,reverse,era,489,294,0.6012269938650306,0.9768507162989415,2.333978948663699,2.2516446921345117,3.5157903705787863,1.7265022302998174,-1.1559834518706522,-0.8389766627608115,-0.7775508711055916,-0.6950084557259135,-3.970590785281416,-1.0370895349705012,-0.35155116322387997,0.3100662982936408,2.636946884431641,0.07191712702945148,0.5539234341599305,-0.6218765774311267,-0.03381277897178237,0.769615192403798,0.8195902048975512,2.526046516477168,False
11:00,15:00,blk2,stale,scaled,rule,whole,865,223,0.13737294232092387,1.361672368890722,3.0705538263660883,3.4399084827499773,3.3484567202594455,1.1540018418093854,-0.8583116152079793,-0.5576389751027794,-1.2019643428158657,-0.16554031678247919,-2.0549910382872043,-0.3298994739474179,-0.014047560575100027,0.9478291609969026,6.2299164431900795,0.6676014814038359,1.266624794082863,-0.1495468894927942,-0.0059836242512258464,0.6456771614192903,0.6186906546726637,3.111130122814693,False
11:00,15:00,blk2,stale,scaled,rule,era,489,195,0.2136798805226576,1.4516825598581706,3.1805190221113833,3.1354179510422333,3.5157903705787863,1.7265022302998174,-0.7775508711055916,-0.5088329368475004,-1.1559834518706522,-0.22017661216668474,-2.152090904333943,-0.4482392789536978,-0.020990947239660912,0.7848981418528697,4.273638806447769,0.43826520632230337,1.1477170232697806,-0.19467872700756128,-0.008672876114447503,0.527736131934033,0.5082458770614693,3.199224958626899,False
11:00,15:00,blk2,stale,scaled,reverse,whole,865,579,0.4205864782806944,0.9995053663482641,2.393341937313431,2.579758359999334,3.3484567202594455,1.1540018418093854,-1.1181280565648624,-0.7631626195606709,-1.1037358514968874,-0.5277073193249371,-5.6591200500607775,-0.71560783586883,-0.34772291591102855,0.5856621584544447,4.221695898495223,0.3315308448309704,0.8843001051317997,-0.47824271390455403,-0.029139450131054543,0.84007996001999,0.7791104447776112,2.5671832594785515,False
11:00,15:00,blk2,stale,scaled,reverse,era,489,294,0.3512729119872602,1.1945661957803682,2.7029636357641365,2.4550053452110236,3.5157903705787863,1.7265022302998174,-1.1559834518706522,-0.8389766627608115,-0.7775508711055916,-0.4772929762444871,-3.6635883155372535,-0.7305668165146376,-0.2418785065898932,0.5277817777750673,3.6464259825920253,0.2537338902207576,0.8176174462207153,-0.43550799630589193,-0.02436874530252174,0.9105447276361819,0.9305347326336831,2.9748728000212528,False
11:00,15:00,blk2,stale,margin,rule,whole,865,61,0.07052023121387284,1.3503304148005248,2.993232398677552,3.320406802170153,3.3484567202594455,1.1540018418093854,-2.508248595161715,-2.0369371064385473,-1.007539096982961,-0.17688227087267588,-2.480366993899842,-0.33064648115563416,-0.04840678912225135,0.9364872069067057,5.970137024066103,0.6447488406373076,1.2716628164078005,-0.16925546799408925,-0.006909650062097723,0.9905047476261869,0.9920039980009995,3.2169665203348385,False
11:00,15:00,blk2,stale,margin,rule,era,489,52,0.10633946830265849,1.4165585926503248,3.029393002792176,2.9304254412406574,3.5157903705787863,1.7265022302998174,-2.4008073714258718,-2.0008073830888957,-0.8389921542366517,-0.2553005793745303,-2.7742105039205747,-0.4667400029025243,-0.08424366823021101,0.7497741746450243,3.842119518871169,0.38947563631385435,1.1368829790996575,-0.2437509808591615,-0.01083093446402929,0.9905047476261869,0.993503248375812,3.335550596503384,False
