book,sample,family,param,rule,n_days,n_stopped,frac_stopped,mean_stop_clock_et,mean_hours_held,mean_calendar,sd,Sharpe_ann,t,MaxDD,worst_day,worst_date,mean_stopped_under_rule,mean_stopped_under_book,saved_per_stopped_day,mean_not_stopped
crossed,daily_era,loss_stop,0.25,buy back when the mark-to-market day loss exceeds 0.25 entry premia,489,78,0.15950920245398773,13.23076923076923,2.230769230769231,0.04465996469512592,0.3259481882085485,2.1750541543484885,3.02987166477163,-3.2441720178478572,-1.76917761821963,2023-12-20,-0.4932600282464726,-0.4391355083889809,-0.05412451985749167,0.14674697065484535
crossed,daily_era,loss_stop,0.5,buy back when the mark-to-market day loss exceeds 0.50 entry premia,489,29,0.05930470347648262,13.258620689655173,2.2586206896551726,0.053141254278040534,0.32185397404181343,2.6210372625595126,3.651130487147995,-3.0131623289207763,-1.76917761821963,2023-12-20,-0.774163400558333,-0.7715991956328465,-0.0025642049254863877,0.10529741730033364
crossed,daily_era,loss_stop,0.75,buy back when the mark-to-market day loss exceeds 0.75 entry premia,489,13,0.026584867075664622,13.76923076923077,2.769230769230769,0.053973930430446945,0.3314029820309942,2.58540094584258,3.60148875016338,-2.788781656425602,-2.095626948838982,2024-04-04,-1.135033714512103,-1.1606349987957671,0.025601284283664347,0.086446828296525
crossed,daily_era,loss_stop,1.0,buy back when the mark-to-market day loss exceeds 1.00 entry premia,489,7,0.014314928425357873,13.928571428571429,2.9285714285714284,0.054404822476315506,0.331317528783811,2.606713220214893,3.63117695636432,-2.4359723798167217,-2.095626948838982,2024-04-04,-1.4247595692076362,-1.502405698652974,0.07764612944533744,0.07588646301944345
crossed,daily_era,loss_stop,1.5,buy back when the mark-to-market day loss exceeds 1.50 entry premia,489,3,0.006134969325153374,14.666666666666666,3.6666666666666665,0.0535647467060851,0.33495565913813763,2.538586734538884,3.5362760969270806,-2.4206059081086444,-2.095626948838982,2024-04-04,-1.8142892867708376,-1.8585312382624009,0.04424195149156337,0.06509470987569574
crossed,daily_era,signal_cross,0.0,buy back when the window-matched signal of blk2 turns positive at a stamp,489,432,0.8834355828220859,12.574074074074074,1.5740740740740742,0.016456859843980907,0.23361237472735655,1.1182821601561326,1.5577779631383875,-4.753130005904779,-2.2028675866604797,2024-04-04,0.005442353487510666,0.047139184091895533,-0.04169683060438486,0.09993522380880798
mid,whole,reference,,"never stop (the book of record, buy back at 15:30)",865,0,0.0,,,0.08487953095628267,0.31584457081058137,4.26608815343187,7.903830328942877,-3.4544058900805297,-2.041976485629983,2024-04-04,,,,0.08487953095628267
mid,whole,reference,,always stop at 15:00 (the exit-clock ladder rung),865,865,1.0,15.0,4.0,0.06513946172213046,0.2953933476834163,3.5006099684697247,6.485620138049182,-3.846042250349914,-2.059066334743197,2024-04-04,0.06513946172213046,0.08487953095628267,-0.019740069234152204,
mid,whole,move_stop,0.5,buy back when |S_t - S_11:00| / S_11:00 >= 0.50 m_11,865,657,0.7595375722543353,13.070776255707763,2.0707762557077625,0.05189966157561821,0.25934444557575,3.17678515965888,5.88566620997943,-3.9596762385701965,-1.2717808633875898,2022-10-13,-0.02881446420773431,0.014606520593292706,-0.04342098480102702,0.30684764542015003
mid,whole,move_stop,0.75,buy back when |S_t - S_11:00| / S_11:00 >= 0.75 m_11,865,394,0.4554913294797688,13.384517766497462,2.3845177664974617,0.06726502823687093,0.3087606664327788,3.4583395359766844,6.407305224165543,-4.096653098927661,-2.0386963556834856,2024-04-04,-0.1284871492188328,-0.08981571558357607,-0.03867143363525674,0.2310152573611751
mid,whole,move_stop,1.0,buy back when |S_t - S_11:00| / S_11:00 >= 1.00 m_11,865,234,0.2705202312138728,13.649572649572649,2.6495726495726495,0.0741196664651705,0.3224005622246,3.649538388632473,6.7615415259316505,-3.833861141018172,-2.0386963556834856,2024-04-04,-0.22882245546648888,-0.18904774271088196,-0.039774712755606956,0.1864627037583691
mid,whole,move_stop,1.25,buy back when |S_t - S_11:00| / S_11:00 >= 1.25 m_11,865,129,0.14913294797687862,13.837209302325581,2.8372093023255816,0.08341217201318789,0.31587066711447614,4.191991592229547,7.766550782286027,-3.6532091009650713,-2.0386963556834856,2024-04-04,-0.3020309368166793,-0.29219166948507475,-0.009839267331604574,0.15096945603364015
mid,whole,move_stop,1.5,buy back when |S_t - S_11:00| / S_11:00 >= 1.50 m_11,865,89,0.10289017341040463,14.02808988764045,3.0280898876404496,0.08388251456854381,0.3162654611633906,4.210366925532796,7.8005949725238235,-3.441014718359746,-2.0386963556834856,2024-04-04,-0.3942929453888464,-0.38460284229453057,-0.009690103094315835,0.1387248031461311
mid,whole,move_stop,2.0,buy back when |S_t - S_11:00| / S_11:00 >= 2.00 m_11,865,30,0.03468208092485549,14.3,3.3,0.08480565593536306,0.3158145229118328,4.2627806975042555,7.8977025675061405,-3.428916603441266,-2.0386963556834856,2024-04-04,-0.645737455486817,-0.643607392383635,-0.0021300631031822264,0.11105271383077073
mid,whole,move_stop_timed,0.5,buy back when |S_t - S_11:00| / S_11:00 >= 0.50 m_11 sqrt(hours elapsed / 5),865,797,0.9213872832369943,12.48870765370138,1.4887076537013801,0.03556329385159591,0.20995269730679042,2.688938009578751,4.981826213707948,-2.540125167857962,-1.2717808633875898,2022-10-13,0.007305340500956242,0.06082923648032143,-0.05352389597936519,0.3667631294465932
mid,whole,move_stop_timed,0.75,buy back when |S_t - S_11:00| / S_11:00 >= 0.75 m_11 sqrt(hours elapsed / 5),865,634,0.7329479768786127,12.591482649842272,1.5914826498422714,0.04743867233406693,0.2566287468998412,2.9344552636265573,5.436698839174153,-3.06076034913756,-1.7224741807304127,2023-12-20,-0.04338691682016564,0.0076956426565167255,-0.05108255947668236,0.29671756204741523
mid,whole,move_stop_timed,1.0,buy back when |S_t - S_11:00| / S_11:00 >= 1.00 m_11 sqrt(hours elapsed / 5),865,451,0.5213872832369942,12.660753880266075,1.6607538802660753,0.06060369398722499,0.2938766473104731,3.273665416211046,6.065157369672598,-4.046632168508115,-2.0386963556834856,2024-04-04,-0.11329725313001696,-0.0667371667037755,-0.04656008642624145,0.2500465131898243
mid,whole,move_stop_timed,1.25,buy back when |S_t - S_11:00| / S_11:00 >= 1.25 m_11 sqrt(hours elapsed / 5),865,314,0.3630057803468208,12.76592356687898,1.765923566878981,0.06482628557587886,0.3139592142923983,3.277767727385636,6.072757768519116,-3.5431146113778347,-2.0386963556834856,2024-04-04,-0.1830661053279745,-0.1278238847736774,-0.05524222055429713,0.2060934557098352
mid,whole,move_stop_timed,1.5,buy back when |S_t - S_11:00| / S_11:00 >= 1.50 m_11 sqrt(hours elapsed / 5),865,214,0.24739884393063583,12.794392523364486,1.794392523364486,0.07118908292620361,0.318818608945804,3.544622632441881,6.567162904126545,-3.9850593306219295,-2.0386963556834856,2024-04-04,-0.2570137041650282,-0.20167614553877408,-0.05533755862625413,0.17907755671656247
mid,whole,move_stop_timed,2.0,buy back when |S_t - S_11:00| / S_11:00 >= 2.00 m_11 sqrt(hours elapsed / 5),865,101,0.11676300578034682,12.965346534653465,1.9653465346534653,0.08086646908881956,0.3186394663704023,4.028739485099428,7.464091735685955,-3.9580310393393674,-2.0386963556834856,2024-04-04,-0.40322042063102154,-0.36885112839977796,-0.03436929223124358,0.14486224901251582
