,s,r_mid,r_ask,r_bid,sign_crossed,"size_(i) rank of s, trailing 252","crossed_(i) rank of s, trailing 252",size_(ii) top trailing quintile x2,crossed_(ii) top trailing quintile x2,"size_(iii) Kelly by s-quintile, expanding","crossed_(iii) Kelly by s-quintile, expanding",size_(iv) month-end x2,crossed_(iv) month-end x2,tag
2021-10-22,-3.4663825329456963e-07,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,blk2
2021-10-25,-7.288091336122364e-08,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,blk2
2021-10-27,9.901996443032376e-07,1.8190104735643997,1.7183314203081048,1.9274337715134768,1.7183314203081048,0.9230769230769231,1.5861520802844045,0.8333333333333334,1.4319428502567542,1.219101980789677,2.09482123815075,0.9545454545454545,1.6402254466577364,blk2
2021-10-29,-5.736925299045723e-07,1.372544642857143,1.306640625,1.4423253676470589,-1.4423253676470589,-1.0,-1.4423253676470589,-1.0,-1.4423253676470589,-1.0,-1.4423253676470589,-1.0,-1.4423253676470589,blk2
2021-11-01,8.424099479357482e-08,0.24404134372229525,0.1838458025484948,0.3106862946451532,0.1838458025484948,0.2608695652173913,0.04795977457786821,0.8333333333333334,0.15320483545707902,0.0,0.0,0.9545454545454545,0.17548917515992685,blk2
2021-11-03,-1.0767217769429186e-06,0.30288282912220144,0.23773871527777768,0.3752651744293789,-0.3752651744293789,-1.0,-0.3752651744293789,-1.0,-0.3752651744293789,-1.0,-0.3752651744293789,-1.0,-0.3752651744293789,blk2
2021-11-05,-1.4698730032062996e-06,-0.5204198842628103,-0.535819221140283,-0.503963685577312,0.503963685577312,-1.0,0.503963685577312,-1.0,0.503963685577312,-1.0,0.503963685577312,-1.0,0.503963685577312,blk2
2021-11-08,-9.284454193195e-08,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,blk2
2021-11-10,-1.0869912805743786e-06,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,blk2
2021-11-12,-1.3137246649064971e-06,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,blk2
2021-11-15,-6.403137128783848e-07,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,blk2
2021-11-17,-1.7346697959566986e-07,-0.5163352272727273,-0.5413523857724294,-0.4884314716203936,0.4884314716203936,-1.0,0.4884314716203936,-1.0,0.4884314716203936,-1.0,0.4884314716203936,-1.0,0.4884314716203936,blk2
2021-11-19,-4.201581157302428e-07,-0.5084243194650415,-0.5255723320906736,-0.489990234375,0.489990234375,-1.0,0.489990234375,-1.0,0.489990234375,-1.0,0.489990234375,-1.0,0.489990234375,blk2
2021-11-22,2.601841281450367e-07,10.31604850795286,9.742046563081965,10.954857978662613,9.742046563081965,0.5476190476190477,5.334930260735362,0.8333333333333334,8.118372135901637,2.639139753098646,25.710622361167648,0.9545454545454545,9.299226264760057,blk2
2021-11-24,3.351517730754313e-07,-1.0,-1.0,-1.0,-1.0,0.6904761904761905,-0.6904761904761905,0.8333333333333334,-0.8333333333333334,2.639139753098646,-2.639139753098646,0.9545454545454545,-0.9545454545454545,blk2
2021-11-29,-6.291643804124354e-07,0.7452879615297192,0.6775827842718063,0.8186879705034769,-0.8186879705034769,-1.0,-0.8186879705034769,-1.0,-0.8186879705034769,-1.0,-0.8186879705034769,-1.0,-0.8186879705034769,blk2
2021-11-30,-3.7745125271936777e-06,-0.7247706325695714,-0.7321428525812771,-0.7169811422606722,0.7169811422606722,-1.0,0.7169811422606722,-1.0,0.7169811422606722,-1.0,0.7169811422606722,-1.0,0.7169811422606722,blk2
2021-12-01,-6.62415244349308e-06,0.5103619653523441,0.46521529871930856,0.5583793136675759,-0.5583793136675759,-1.0,-0.5583793136675759,-1.0,-0.5583793136675759,-1.0,-0.5583793136675759,-1.0,-0.5583793136675759,blk2
