segment,estimator,train_win,pooled_train_win,bar_end,sample,n,first,QLIKE_subsection,QLIKE_pooled,diff,pct,ci_lo,ci_hi,dm_stat,improves
bar1130,ridge,500,500,all bars,common,3121,2012-03-21,0.13255804121408463,0.13352458464626898,-0.00096654343218437,-0.7238692670304275,-0.004647949338974108,0.002484119452089701,-0.5662761799758173,False
bar1130,ridge,500,500,all bars,deck period,1116,2020-01-03,0.1400170453903001,0.14280211310671517,-0.002785067716415065,-1.9502986726350473,-0.007403889324481443,0.0020809663419660966,-1.1400507418347294,False
bar1130,ridge,500,500,11:30,common,3121,2012-03-21,0.13255804121408463,0.13352458464626898,-0.00096654343218437,-0.7238692670304275,-0.004647949338974108,0.002484119452089701,-0.5662761799758173,False
bar1130,ridge,500,500,11:30,deck period,1116,2020-01-03,0.1400170453903001,0.14280211310671517,-0.002785067716415065,-1.9502986726350473,-0.007403889324481443,0.0020809663419660966,-1.1400507418347294,False
bar1130,ridge,2000,500,all bars,common,1621,2018-01-17,0.13113948701254854,0.13614697199618564,-0.005007484983637098,-3.67799952523174,-0.010461580654186531,0.0002247471956861823,-2.081176560335269,False
bar1130,ridge,2000,500,all bars,deck period,1116,2020-01-03,0.1353292059287545,0.14280211310671517,-0.0074729071779606575,-5.233050838943957,-0.014392460068906337,-0.0006753318637429376,-2.582479306281475,True
bar1130,ridge,2000,500,11:30,common,1621,2018-01-17,0.13113948701254854,0.13614697199618564,-0.005007484983637098,-3.67799952523174,-0.010461580654186531,0.0002247471956861823,-2.081176560335269,False
bar1130,ridge,2000,500,11:30,deck period,1116,2020-01-03,0.1353292059287545,0.14280211310671517,-0.0074729071779606575,-5.233050838943957,-0.014392460068906337,-0.0006753318637429376,-2.582479306281475,True
bar1130,ridge,2000,2000,all bars,common,1621,2018-01-17,0.13113948701254854,0.1405742269614679,-0.009434739948919349,-6.711571639305872,-0.014315973668962539,-0.004655107343046856,-4.3838857505386155,True
bar1130,ridge,2000,2000,all bars,deck period,1116,2020-01-03,0.1353292059287545,0.15049284247028757,-0.015163636541533075,-10.075985204762741,-0.021138804839007267,-0.009468090449790925,-5.947797991929117,True
bar1130,ridge,2000,2000,11:30,common,1621,2018-01-17,0.13113948701254854,0.1405742269614679,-0.009434739948919349,-6.711571639305872,-0.014315973668962539,-0.004655107343046856,-4.3838857505386155,True
bar1130,ridge,2000,2000,11:30,deck period,1116,2020-01-03,0.1353292059287545,0.15049284247028757,-0.015163636541533075,-10.075985204762741,-0.021138804839007267,-0.009468090449790925,-5.947797991929117,True
bar1200,reclasso,500,500,all bars,common,3060,2012-05-31,0.13627340960442894,0.1394265308350026,-0.003153121230573643,-2.261492996842221,-0.006555301355907851,0.0005081975579164912,-1.8658644983891712,False
bar1200,reclasso,500,500,all bars,deck period,1116,2020-01-03,0.13085863757208271,0.13857110593773353,-0.0077124683656508404,-5.565711779132666,-0.013777677661132645,-0.0013682687145390436,-2.4936455197547702,True
bar1200,reclasso,500,500,12:00,common,3060,2012-05-31,0.13627340960442894,0.1394265308350026,-0.003153121230573643,-2.261492996842221,-0.006555301355907851,0.0005081975579164912,-1.8658644983891712,False
bar1200,reclasso,500,500,12:00,deck period,1116,2020-01-03,0.13085863757208271,0.13857110593773353,-0.0077124683656508404,-5.565711779132666,-0.013777677661132645,-0.0013682687145390436,-2.4936455197547702,True
bar1200,reclasso,2000,500,all bars,common,1560,2018-04-13,0.14715717909143736,0.15396090507447846,-0.006803725983041087,-4.419125738283878,-0.013536676971707996,0.0006134635045226154,-1.9233624247795986,False
bar1200,reclasso,2000,500,all bars,deck period,1116,2020-01-03,0.12770288647776826,0.13857110593773353,-0.010868219459965288,-7.843063231990721,-0.01794067357390497,-0.004502835328182093,-4.102259259583648,True
bar1200,reclasso,2000,500,12:00,common,1560,2018-04-13,0.14715717909143736,0.15396090507447846,-0.006803725983041087,-4.419125738283878,-0.013536676971707996,0.0006134635045226154,-1.9233624247795986,False
bar1200,reclasso,2000,500,12:00,deck period,1116,2020-01-03,0.12770288647776826,0.13857110593773353,-0.010868219459965288,-7.843063231990721,-0.01794067357390497,-0.004502835328182093,-4.102259259583648,True
bar1200,reclasso,2000,2000,all bars,common,1560,2018-04-13,0.14715717909143736,0.15971749110495023,-0.012560312013512858,-7.864080462708675,-0.018782765189806237,-0.006082634118553048,-3.798163760216176,True
bar1200,reclasso,2000,2000,all bars,deck period,1116,2020-01-03,0.12770288647776826,0.146125363403306,-0.018422476925537754,-12.607309570681249,-0.02484278351926079,-0.013214005474186594,-7.140964378008132,True
bar1200,reclasso,2000,2000,12:00,common,1560,2018-04-13,0.14715717909143736,0.15971749110495023,-0.012560312013512858,-7.864080462708675,-0.018782765189806237,-0.006082634118553048,-3.798163760216176,True
bar1200,reclasso,2000,2000,12:00,deck period,1116,2020-01-03,0.12770288647776826,0.146125363403306,-0.018422476925537754,-12.607309570681249,-0.02484278351926079,-0.013214005474186594,-7.140964378008132,True
bar1200,reclasticnet,500,500,all bars,common,3060,2012-05-31,0.13445107832227668,0.13892419034991704,-0.0044731120276403705,-3.219822276000791,-0.007608557409704941,-0.0012269143553054944,-2.9046402400457785,True
bar1200,reclasticnet,500,500,all bars,deck period,1116,2020-01-03,0.12958102638109914,0.13734281243358307,-0.0077617860524839145,-5.651395886652167,-0.014516503277450816,-0.0008753626235955886,-2.3127631230823016,True
bar1200,reclasticnet,500,500,12:00,common,3060,2012-05-31,0.13445107832227668,0.13892419034991704,-0.0044731120276403705,-3.219822276000791,-0.007608557409704941,-0.0012269143553054944,-2.9046402400457785,True
bar1200,reclasticnet,500,500,12:00,deck period,1116,2020-01-03,0.12958102638109914,0.13734281243358307,-0.0077617860524839145,-5.651395886652167,-0.014516503277450816,-0.0008753626235955886,-2.3127631230823016,True
bar1200,reclasticnet,2000,500,all bars,common,1560,2018-04-13,0.1464427870001619,0.15355391300389343,-0.007111126003731504,-4.631028844931617,-0.013438753711003861,-0.00011287993083262314,-2.1664514465620335,True
bar1200,reclasticnet,2000,500,all bars,deck period,1116,2020-01-03,0.12733267184189337,0.13734281243358307,-0.010010140591689691,-7.288434257548385,-0.016614011102400517,-0.004029892225140289,-3.9165859377321315,True
bar1200,reclasticnet,2000,500,12:00,common,1560,2018-04-13,0.1464427870001619,0.15355391300389343,-0.007111126003731504,-4.631028844931617,-0.013438753711003861,-0.00011287993083262314,-2.1664514465620335,True
bar1200,reclasticnet,2000,500,12:00,deck period,1116,2020-01-03,0.12733267184189337,0.13734281243358307,-0.010010140591689691,-7.288434257548385,-0.016614011102400517,-0.004029892225140289,-3.9165859377321315,True
bar1200,reclasticnet,2000,2000,all bars,common,1560,2018-04-13,0.1464427870001619,0.15938609765619802,-0.01294331065603611,-8.120727495289666,-0.018884090526554244,-0.006744832674084088,-4.144611725152611,True
bar1200,reclasticnet,2000,2000,all bars,deck period,1116,2020-01-03,0.12733267184189337,0.1455627786903617,-0.018230106848468295,-12.523879395877035,-0.02458054711958757,-0.012986881679995428,-6.99896992150506,True
bar1200,reclasticnet,2000,2000,12:00,common,1560,2018-04-13,0.1464427870001619,0.15938609765619802,-0.01294331065603611,-8.120727495289666,-0.018884090526554244,-0.006744832674084088,-4.144611725152611,True
bar1200,reclasticnet,2000,2000,12:00,deck period,1116,2020-01-03,0.12733267184189337,0.1455627786903617,-0.018230106848468295,-12.523879395877035,-0.02458054711958757,-0.012986881679995428,-6.99896992150506,True
bar1200,ridge,500,500,all bars,common,3060,2012-05-31,0.13766631787468248,0.1387951221723059,-0.0011288042976234272,-0.8132881616848779,-0.004753841105131062,0.0024419956255472956,-0.6473423081235989,False
bar1200,ridge,500,500,all bars,deck period,1116,2020-01-03,0.1292911504339018,0.1375510413257157,-0.008259890891813894,-6.004964275228411,-0.0152459096753288,-0.0016211078404734494,-2.4003210375319175,True
bar1200,ridge,500,500,12:00,common,3060,2012-05-31,0.13766631787468248,0.1387951221723059,-0.0011288042976234272,-0.8132881616848779,-0.004753841105131062,0.0024419956255472956,-0.6473423081235989,False
bar1200,ridge,500,500,12:00,deck period,1116,2020-01-03,0.1292911504339018,0.1375510413257157,-0.008259890891813894,-6.004964275228411,-0.0152459096753288,-0.0016211078404734494,-2.4003210375319175,True
bar1200,ridge,2000,500,all bars,common,1560,2018-04-13,0.14703274914061318,0.15359315387686384,-0.006560404736250669,-4.271287209526388,-0.012772137438002144,0.00018117101542340611,-2.039643375264114,False
bar1200,ridge,2000,500,all bars,deck period,1116,2020-01-03,0.12823611713434285,0.1375510413257157,-0.009314924191372847,-6.771976498029889,-0.015712462915270085,-0.0032372615866997443,-3.55206681685857,True
bar1200,ridge,2000,500,12:00,common,1560,2018-04-13,0.14703274914061318,0.15359315387686384,-0.006560404736250669,-4.271287209526388,-0.012772137438002144,0.00018117101542340611,-2.039643375264114,False
bar1200,ridge,2000,500,12:00,deck period,1116,2020-01-03,0.12823611713434285,0.1375510413257157,-0.009314924191372847,-6.771976498029889,-0.015712462915270085,-0.0032372615866997443,-3.55206681685857,True
bar1200,ridge,2000,2000,all bars,common,1560,2018-04-13,0.14703274914061318,0.15839881668102399,-0.011366067540410805,-7.175601294610207,-0.01719509865220114,-0.005260095022661317,-3.6273097465332995,True
bar1200,ridge,2000,2000,all bars,deck period,1116,2020-01-03,0.12823611713434285,0.14458093852139853,-0.016344821387055647,-11.304962849329236,-0.02288433956684175,-0.010371698671983638,-5.619062884939636,True
bar1200,ridge,2000,2000,12:00,common,1560,2018-04-13,0.14703274914061318,0.15839881668102399,-0.011366067540410805,-7.175601294610207,-0.01719509865220114,-0.005260095022661317,-3.6273097465332995,True
