block,row,har_ma_1_x_open,har_ma_1_x_close,har_ma_5_x_open,har_ma_5_x_close,har_ma_25_x_open,har_ma_25_x_close,har_ma_125_x_open,har_ma_125_x_close,har_ma_625_x_open,har_ma_625_x_close,har_ma_3125_x_open,har_ma_3125_x_close,cumrv_x_close,har5rank_x_close
71,82080,-0.029569,0.012660,-0.000000,0.000000,-0.000000,0.102774,0.000000,0.071805,0.000000,0.000000,-0.000000,0.014664,-0.005167,-0.048905
72,82560,-0.029996,0.014286,-0.000000,0.000000,-0.000000,0.103215,0.000000,0.072097,0.000000,0.000000,-0.000000,0.014488,-0.005201,-0.049675
73,83040,-0.030001,0.013468,-0.000000,0.000000,-0.000000,0.105167,0.000000,0.073503,0.000000,0.000000,-0.000000,0.013146,-0.005292,-0.048762
74,83520,-0.027779,0.014606,-0.000000,0.000000,-0.000000,0.103476,0.000000,0.070720,0.000000,0.000000,-0.000000,0.013536,-0.005175,-0.049001
75,84000,-0.026856,0.018443,-0.000000,0.000000,-0.000000,0.104362,0.000000,0.085275,-0.000000,0.000000,-0.000000,0.005169,-0.005570,-0.049066
76,84480,-0.027949,0.016527,-0.000000,0.000000,-0.000000,0.106896,-0.000000,0.085236,-0.000000,0.000000,-0.000000,0.003942,-0.005494,-0.049790
77,84960,-0.027869,0.016749,-0.000000,0.000000,-0.000000,0.104888,-0.000000,0.086511,-0.000000,0.000000,-0.000000,0.005530,-0.005489,-0.048017
78,85440,-0.027354,0.015156,-0.000000,0.000000,-0.000000,0.104851,-0.000000,0.087161,-0.000000,0.000000,-0.000000,0.005466,-0.005470,-0.047844
79,85920,-0.028216,0.012163,-0.000000,0.000000,-0.000000,0.101238,0.000000,0.091082,-0.000000,0.000000,-0.000000,0.007725,-0.005490,-0.046607
80,86400,-0.028630,0.012714,-0.000000,0.000000,-0.000000,0.098180,0.000000,0.091191,-0.000000,0.000000,-0.000000,0.010768,-0.005502,-0.047110
